Word,Prob,Freq,Index
obama,0.03469,899,4
#debates,0.03187,826,50
romney,0.02670,692,20
mitt,0.02018,523,19
president,0.01856,481,3
debate,0.01146,297,156
anniversary,0.01115,289,182
#denverdebate,0.00992,257,141
#presidentialdebate,0.00926,240,29
#obama,0.00830,215,244
just,0.00776,201,68
first,0.00772,200,230
like,0.00552,143,84
happy,0.00525,136,180
#romney,0.00521,135,104
watching,0.00513,133,187
presidential,0.00502,130,145
going,0.00498,129,40
question,0.00494,128,39
jobs,0.00482,125,10
#obama2012,0.00436,113,64
#debate,0.00397,103,221
love,0.00397,103,128
barack,0.00394,102,162
romney's,0.00382,99,323
one,0.00382,99,14
people,0.00378,98,17
obama's,0.00374,97,85
get,0.00370,96,21
wife,0.00367,95,165
michelle,0.00363,94,179
now,0.00355,92,460
us,0.00355,92,382
good,0.00355,92,291
#debate2012,0.00336,87,41
tonight,0.00316,82,425
watch,0.00316,82,60
tie,0.00309,80,80
education,0.00297,77,303
time,0.00293,76,142
right,0.00293,76,38
go,0.00282,73,183
know,0.00282,73,83
think,0.00282,73,25
answer,0.00278,72,237
best,0.00274,71,700
said,0.00274,71,196
want,0.00262,68,92
keep,0.00251,65,417
sure,0.00247,64,42
see,0.00243,63,441
government,0.00239,62,336
say,0.00239,62,94
live,0.00228,59,129
really,0.00224,58,120
make,0.00220,57,553
help,0.00220,57,495
class,0.00220,57,391
vote,0.00212,55,747
america,0.00212,55,387
got,0.00212,55,70
mr,0.00208,54,672
man,0.00208,54,214
plan,0.00205,53,784
way,0.00201,52,396
years,0.00201,52,118
new,0.00197,51,675
lol,0.00197,51,28
red,0.00193,50,759
low,0.00193,50,137
20th,0.00189,49,572
tuition,0.00189,49,501
looks,0.00189,49,205
wants,0.00185,48,385
look,0.00185,48,213
trickle,0.00185,48,107
says,0.00181,47,471
great,0.00177,46,666
woman,0.00177,46,569
middle,0.00174,45,390
take,0.00174,45,381
candidates,0.00174,45,340
start,0.00174,45,54
job,0.00170,44,642
teachers,0.00170,44,338
points,0.00170,44,320
talking,0.00166,43,432
top,0.00166,43,86
tax,0.00162,42,284
debates,0.00158,41,146
economic,0.00154,40,676
place,0.00154,40,45
romantic,0.00154,40,44
blue,0.00150,39,1098
american,0.00150,39,883
point,0.00150,39,319
well,0.00150,39,121
better,0.00147,38,363
need,0.00147,38,301
#teamobama,0.00147,38,192
wishing,0.00147,38,178
million,0.00147,38,9
flag,0.00143,37,884
joke,0.00143,37,507
talk,0.00143,37,299
saying,0.00143,37,195
#romneyryan2012,0.00143,37,97
#tcot,0.00139,36,635
opening,0.00139,36,431
please,0.00139,36,199
economy,0.00135,35,665
already,0.00135,35,191
actually,0.00135,35,18
lady,0.00131,34,1520
work,0.00131,34,497
something,0.00127,33,816
real,0.00127,33,261
let,0.00127,33,75
shit,0.00127,33,56
de,0.00123,32,608
race,0.00120,31,453
year,0.00120,31,281
1st,0.00120,31,246
last,0.00120,31,5
yes,0.00116,30,298
thing,0.00116,30,292
even,0.00116,30,100
tell,0.00116,30,32
spend,0.00112,29,1203
hope,0.00112,29,671
black,0.00112,29,556
back,0.00112,29,251
starts,0.00112,29,177
pin,0.00108,28,885
hire,0.00108,28,805
shout,0.00108,28,648
wedding,0.00108,28,181
wish,0.00108,28,49
far,0.00104,27,1832
nice,0.00104,27,356
gonna,0.00104,27,352
give,0.00104,27,339
many,0.00104,27,132
bring,0.00100,26,2211
call,0.00100,26,1978
plans,0.00100,26,1204
still,0.00100,26,988
night,0.00100,26,942
trickledown,0.00100,26,722
two,0.00100,26,560
tv,0.00100,26,349
pres,0.00100,26,333
policy,0.00100,26,229
ever,0.00100,26,200
care,0.00100,26,186
anything,0.00100,26,166
done,0.00100,26,95
agree,0.00100,26,90
asked,0.00096,25,951
gets,0.00096,25,849
voters,0.00096,25,825
party,0.00096,25,729
much,0.00096,25,549
bad,0.00096,25,354
next,0.00096,25,159
future,0.00093,24,2171
math,0.00093,24,1860
#nobama,0.00093,24,1084
hear,0.00093,24,1000
system,0.00093,24,304
improve,0.00093,24,302
ready,0.00093,24,220
wearing,0.00089,23,1935
made,0.00089,23,1836
states,0.00089,23,1097
spending,0.00089,23,1032
oh,0.00089,23,933
lets,0.00089,23,867
specific,0.00089,23,800
patriotism,0.00089,23,677
#election2012,0.00089,23,238
governor,0.00089,23,208
unemployed,0.00085,22,1885
also,0.00085,22,1707
someone,0.00085,22,771
create,0.00085,22,638
seen,0.00085,22,8
questions,0.00081,21,1866
rate,0.00081,21,1190
ok,0.00081,21,983
making,0.00081,21,831
home,0.00081,21,606
never,0.00081,21,557
makes,0.00081,21,550
republican,0.00081,21,514
ass,0.00081,21,428
hair,0.00081,21,203
months,0.00081,21,6
science,0.00077,20,2193
men,0.00077,20,1800
lot,0.00077,20,1510
wow,0.00077,20,1320
bigger,0.00077,20,1104
everyone,0.00077,20,985
big,0.00077,20,915
speech,0.00077,20,878
without,0.00077,20,826
minutes,0.00077,20,561
money,0.00077,20,538
instead,0.00077,20,424
ties,0.00077,20,295
getting,0.00077,20,219
womp,0.00073,19,4608
el,0.00073,19,2010
high,0.00073,19,1651
la,0.00073,19,1379
must,0.00073,19,1342
personal,0.00073,19,1294
undecided,0.00073,19,1283
story,0.00073,19,1281
forward,0.00073,19,1082
cute,0.00073,19,1080
thank,0.00073,19,1056
game,0.00073,19,811
show,0.00073,19,806
gave,0.00073,19,466
different,0.00073,19,395
country,0.00073,19,111
put,0.00073,19,73
students,0.00073,19,58
lower,0.00069,18,1925
nervous,0.00069,18,1558
started,0.00069,18,1212
seems,0.00069,18,479
obamas,0.00069,18,377
trying,0.00069,18,318
statement,0.00069,18,160
fight,0.00069,18,76
college,0.00069,18,66
speaking,0.00069,18,27
created,0.00069,18,13
gov,0.00066,17,2281
#decision2012,0.00066,17,1506
moving,0.00066,17,1398
pretty,0.00066,17,1332
answering,0.00066,17,1293
took,0.00066,17,1063
wait,0.00066,17,1016
use,0.00066,17,678
since,0.00066,17,623
campaign,0.00066,17,619
important,0.00066,17,617
told,0.00066,17,509
nigga,0.00066,17,504
y,0.00066,17,414
twitter,0.00066,17,308
candidate,0.00066,17,297
denver,0.00066,17,232
looking,0.00066,17,216
imagine,0.00066,17,43
weve,0.00066,17,7
tweeting,0.00066,17,1
dayton,0.00062,16,3622
begin,0.00062,16,2313
move,0.00062,16,2134
united,0.00062,16,2125
en,0.00062,16,2047
issues,0.00062,16,2039
celebrate,0.00062,16,1694
laugh,0.00062,16,1682
stories,0.00062,16,1464
w,0.00062,16,1187
telling,0.00062,16,1070
shake,0.00062,16,908
o,0.00062,16,828
directly,0.00062,16,718
potus,0.00062,16,709
open,0.00062,16,703
part,0.00062,16,618
things,0.00062,16,585
corporate,0.00062,16,455
#mittromney,0.00062,16,403
feel,0.00062,16,353
s,0.00062,16,259
past,0.00062,16,117
voting,0.00062,16,101
wonder,0.00062,16,24
zinger,0.00058,15,2296
sweet,0.00058,15,1845
around,0.00058,15,1718
policies,0.00058,15,1713
excited,0.00058,15,1527
audience,0.00058,15,1445
goes,0.00058,15,1127
hands,0.00058,15,1122
used,0.00058,15,1116
front,0.00058,15,1071
hey,0.00058,15,880
little,0.00058,15,864
school,0.00058,15,835
playing,0.00058,15,809
needs,0.00058,15,600
long,0.00058,15,592
comes,0.00058,15,370
mrs,0.00058,15,360
wrong,0.00058,15,312
support,0.00058,15,309
poor,0.00058,15,257
marriage,0.00058,15,256
fact,0.00058,15,130
ideas,0.00058,15,114
facts,0.00054,14,3496
name,0.00054,14,3385
hearing,0.00054,14,2190
met,0.00054,14,1702
public,0.00054,14,1557
romneys,0.00054,14,1397
respond,0.00054,14,1284
opens,0.00054,14,1085
less,0.00054,14,1065
political,0.00054,14,901
eyes,0.00054,14,862
drinking,0.00054,14,810
called,0.00054,14,790
baby,0.00054,14,741
wishes,0.00054,14,701
touch,0.00054,14,670
interesting,0.00054,14,357
wins,0.00054,14,342
come,0.00054,14,273
mentioned,0.00054,14,241
turn,0.00054,14,123
sector,0.00054,14,12
private,0.00054,14,11
ohio,0.00050,13,2889
grabbed,0.00050,13,2887
guess,0.00050,13,2203
#garyjohnsonforpresident,0.00050,13,1914
human,0.00050,13,1364
specifics,0.00050,13,1286
#,0.00050,13,1206
may,0.00050,13,962
mention,0.00050,13,958
speaker,0.00050,13,919
sorry,0.00050,13,801
smart,0.00050,13,470
guys,0.00050,13,433
path,0.00050,13,410
sound,0.00050,13,175
giving,0.00050,13,163
every,0.00050,13,149
#cantafford4more,0.00050,13,99
#2012debate,0.00050,13,96
thought,0.00050,13,81
husband,0.00050,13,77
stop,0.00050,13,52
gop,0.00046,12,2342
sweetie,0.00046,12,2155
change,0.00046,12,1249
zingers,0.00046,12,1198
major,0.00046,12,1054
wanna,0.00046,12,1002
vs,0.00046,12,936
bit,0.00046,12,914
hand,0.00046,12,909
gives,0.00046,12,855
bet,0.00046,12,852
came,0.00046,12,740
celebrating,0.00046,12,704
hell,0.00046,12,683
mittens,0.00046,12,654
away,0.00046,12,467
five,0.00046,12,290
begun,0.00046,12,276
wanted,0.00046,12,236
sounds,0.00046,12,233
fuck,0.00046,12,102
least,0.00046,12,89
tells,0.00042,11,4064
unemployment,0.00042,11,3252
sucks,0.00042,11,3245
jim,0.00042,11,2991
arm,0.00042,11,2888
actual,0.00042,11,2401
married,0.00042,11,2368
course,0.00042,11,2173
folks,0.00042,11,1992
speak,0.00042,11,1871
michelle's,0.00042,11,1865
bush,0.00042,11,1762
remember,0.00042,11,1616
wear,0.00042,11,1396
community,0.00042,11,1382
lapel,0.00042,11,1366
whether,0.00042,11,1360
amazing,0.00042,11,1327
mitt's,0.00042,11,1010
voice,0.00042,11,1008
damn,0.00042,11,907
win,0.00042,11,886
women,0.00042,11,860
taking,0.00042,11,765
schools,0.00042,11,745
asking,0.00042,11,743
hate,0.00042,11,690
invest,0.00042,11,652
gotta,0.00042,11,628
exactly,0.00042,11,574
focus,0.00042,11,539
another,0.00042,11,531
house,0.00042,11,484
thanks,0.00042,11,472
young,0.00042,11,435
using,0.00042,11,423
running,0.00042,11,409
probably,0.00042,11,399
discusses,0.00042,11,359
color,0.00042,11,293
number,0.00042,11,289
ago,0.00042,11,282
always,0.00042,11,270
four,0.00042,11,150
talks,0.00042,11,127
energy,0.00042,11,91
aww,0.00039,10,3715
forget,0.00039,10,2803
offer,0.00039,10,2594
true,0.00039,10,2587
family,0.00039,10,2488
response,0.00039,10,2158
line,0.00039,10,2040
either,0.00039,10,1965
johnson,0.00039,10,1918
yeah,0.00039,10,1706
heard,0.00039,10,1705
rules,0.00039,10,1454
head,0.00039,10,1339
check,0.00039,10,1216
guy,0.00039,10,1109
seeing,0.00039,10,1108
state,0.00039,10,1099
office,0.00039,10,1041
gay,0.00039,10,858
starting,0.00039,10,693
ya,0.00039,10,661
words,0.00039,10,643
believe,0.00039,10,566
anyone,0.00039,10,565
rather,0.00039,10,543
govt,0.00039,10,537
mind,0.00039,10,483
second,0.00039,10,430
behind,0.00039,10,321
world,0.00039,10,306
university,0.00039,10,231
domestic,0.00039,10,228
omg,0.00039,10,193
thats,0.00039,10,167
income,0.00039,10,138
full,0.00039,10,124
mean,0.00039,10,71
control,0.00039,10,33
usa,0.00035,9,2983
huh,0.00035,9,2709
ask,0.00035,9,2705
close,0.00035,9,2639
debt,0.00035,9,2442
national,0.00035,9,2441
find,0.00035,9,2348
coming,0.00035,9,2184
informed,0.00035,9,2122
loves,0.00035,9,2087
que,0.00035,9,2048
bat,0.00035,9,1999
today,0.00035,9,1994
gary,0.00035,9,1917
though,0.00035,9,1895
bill,0.00035,9,1868
crowd,0.00035,9,1863
#cnndebate,0.00035,9,1827
makeup,0.00035,9,1820
phrase,0.00035,9,1780
moderator,0.00035,9,1646
record,0.00035,9,1598
begins,0.00035,9,1596
colleges,0.00035,9,1580
left,0.00035,9,1554
free,0.00035,9,1427
choice,0.00035,9,1381
sense,0.00035,9,1343
answered,0.00035,9,1226
double,0.00035,9,1220
whole,0.00035,9,1199
#nbcpolitics,0.00035,9,1166
play,0.00035,9,948
waiting,0.00035,9,938
boring,0.00035,9,935
co,0.00035,9,795
program,0.00035,9,789
lehrer,0.00035,9,749
homework,0.00035,9,715
americans,0.00035,9,535
nothing,0.00035,9,530
writing,0.00035,9,375
choose,0.00035,9,372
taxes,0.00035,9,350
specifically,0.00035,9,300
cut,0.00035,9,285
prez,0.00035,9,201
stand,0.00035,9,197
approach,0.00035,9,87
president's,0.00035,9,79
politics,0.00035,9,15
hoping,0.00031,8,4817
details,0.00031,8,3724
cnn,0.00031,8,3365
oil,0.00031,8,3290
breaks,0.00031,8,2934
#debatedenver,0.00031,8,2723
minute,0.00031,8,2657
mentions,0.00031,8,2467
lost,0.00031,8,2462
moment,0.00031,8,2399
case,0.00031,8,2341
yea,0.00031,8,2242
wished,0.00031,8,2230
learn,0.00031,8,2195
su,0.00031,8,2044
calls,0.00031,8,2038
em,0.00031,8,2035
teleprompter,0.00031,8,2020
se,0.00031,8,2011
bull,0.00031,8,1922
seconds,0.00031,8,1769
day,0.00031,8,1700
voter,0.00031,8,1680
#debatewatch,0.00031,8,1518
lies,0.00031,8,1383
count,0.00031,8,1290
chicago,0.00031,8,1185
coverage,0.00031,8,1160
follow,0.00031,8,1137
difference,0.00031,8,1112
supposed,0.00031,8,1045
hot,0.00031,8,1018
dear,0.00031,8,979
funny,0.00031,8,874
news,0.00031,8,733
boo,0.00031,8,697
camera,0.00031,8,681
matter,0.00031,8,586
means,0.00031,8,576
stage,0.00031,8,559
run,0.00031,8,528
bitch,0.00031,8,503
loans,0.00031,8,502
won,0.00031,8,474
ppl,0.00031,8,444
kick,0.00031,8,427
creating,0.00031,8,389
forgot,0.00031,8,378
tomorrow,0.00031,8,322
ur,0.00031,8,310
lmao,0.00031,8,286
face,0.00031,8,271
lie,0.00031,8,247
key,0.00031,8,173
maybe,0.00031,8,153
hiring,0.00031,8,115
health,0.00027,7,6199
blame,0.00027,7,5497
hashtag,0.00027,7,4794
alright,0.00027,7,4780
thus,0.00027,7,4703
entre,0.00027,7,4547
refer,0.00027,7,4446
wore,0.00027,7,4400
opinions,0.00027,7,4216
touched,0.00027,7,3901
eloquent,0.00027,7,3812
security,0.00027,7,3723
dc,0.00027,7,3595
views,0.00027,7,3500
break,0.00027,7,3489
#2012presidentialdebate,0.00027,7,3458
matches,0.00027,7,3435
tuned,0.00027,7,2976
billionaire,0.00027,7,2808
fun,0.00027,7,2765
okay,0.00027,7,2075
para,0.00027,7,2051
terrible,0.00027,7,1910
drink,0.00027,7,1858
dan,0.00027,7,1745
biggest,0.00027,7,1728
phone,0.00027,7,1725
solutions,0.00027,7,1712
pipeline,0.00027,7,1693
fine,0.00027,7,1671
shows,0.00027,7,1623
tweet,0.00027,7,1587
min,0.00027,7,1525
everybody,0.00027,7,1477
lots,0.00027,7,1473
wtf,0.00027,7,1425
history,0.00027,7,1401
smh,0.00027,7,1358
act,0.00027,7,1324
si,0.00027,7,1259
deficit,0.00027,7,1248
bs,0.00027,7,1242
cause,0.00027,7,1235
creation,0.00027,7,1126
definitely,0.00027,7,1060
whoever,0.00027,7,1053
mess,0.00027,7,984
thinking,0.00027,7,910
rights,0.00027,7,857
#mitt,0.00027,7,815
video,0.00027,7,807
kind,0.00027,7,735
problem,0.00027,7,721
pay,0.00027,7,699
failed,0.00027,7,640
solid,0.00027,7,636
white,0.00027,7,627
los,0.00027,7,615
fake,0.00027,7,601
answers,0.00027,7,525
election,0.00027,7,469
stay,0.00027,7,445
spent,0.00027,7,429
card,0.00027,7,376
smaller,0.00027,7,368
might,0.00027,7,343
life,0.00027,7,311
tho,0.00027,7,188
haha,0.00027,7,176
economics,0.00027,7,108
notice,0.00027,7,93
higher,0.00027,7,35
appear,0.00023,6,6061
teacher,0.00023,6,5582
ladies,0.00023,6,5050
barak,0.00023,6,4537
heck,0.00023,6,4420
girls,0.00023,6,4365
brings,0.00023,6,4253
confident,0.00023,6,4225
100k,0.00023,6,3947
soon,0.00023,6,3650
reduce,0.00023,6,3578
podium,0.00023,6,3436
hole,0.00023,6,3425
ugh,0.00023,6,3352
brain,0.00023,6,2931
hours,0.00023,6,2927
closing,0.00023,6,2925
bush's,0.00023,6,2879
clear,0.00023,6,2870
named,0.00023,6,2845
challenger,0.00023,6,2781
pell,0.00023,6,2760
mins,0.00023,6,2682
finish,0.00023,6,2675
grant,0.00023,6,2654
parties,0.00023,6,2592
share,0.00023,6,2584
lines,0.00023,6,2582
possible,0.00023,6,2532
union,0.00023,6,2527
city,0.00023,6,2508
favorite,0.00023,6,2484
bc,0.00023,6,2468
ann,0.00023,6,2406
vague,0.00023,6,2312
match,0.00023,6,2288
attack,0.00023,6,2247
yall,0.00023,6,2147
2nd,0.00023,6,2136
song,0.00023,6,2079
luck,0.00023,6,2055
hahaha,0.00023,6,2006
cool,0.00023,6,1995
yrs,0.00023,6,1929
rates,0.00023,6,1928
corp,0.00023,6,1926
robot,0.00023,6,1900
examples,0.00023,6,1888
rule,0.00023,6,1857
correct,0.00023,6,1817
debat,0.00023,6,1751
went,0.00023,6,1715
room,0.00023,6,1543
unions,0.00023,6,1531
everytime,0.00023,6,1522
old,0.00023,6,1486
rhetoric,0.00023,6,1443
via,0.00023,6,1391
issue,0.00023,6,1353
#forwardnotback,0.00023,6,1269
costs,0.00023,6,1244
beginning,0.00023,6,1224
thru,0.00023,6,1180
usual,0.00023,6,1179
truth,0.00023,6,1171
studying,0.00023,6,1133
happen,0.00023,6,1102
entire,0.00023,6,1073
basically,0.00023,6,1072
paid,0.00023,6,1064
yet,0.00023,6,1048
putting,0.00023,6,1035
presidency,0.00023,6,999
die,0.00023,6,986
fix,0.00023,6,982
word,0.00023,6,920
trash,0.00023,6,853
try,0.00023,6,843
allow,0.00023,6,824
reform,0.00023,6,770
decided,0.00023,6,723
term,0.00023,6,668
prices,0.00023,6,639
else,0.00023,6,590
debating,0.00023,6,584
times,0.00023,6,515
#potus,0.00023,6,477
solution,0.00023,6,454
knows,0.00023,6,404
focusing,0.00023,6,388
hmmm,0.00023,6,361
knew,0.00023,6,305
owned,0.00023,6,258
r,0.00023,6,226
notes,0.00023,6,217
zing,0.00023,6,204
shoutout,0.00023,6,164
working,0.00023,6,133
idiot,0.00023,6,88
parents,0.00023,6,69
person,0.00023,6,37
#liblies,0.00019,5,5901
corner,0.00019,5,5564
square,0.00019,5,5436
promised,0.00019,5,5245
anecdotes,0.00019,5,5177
id,0.00019,5,5113
brilliant,0.00019,5,5027
due,0.00019,5,4988
embrace,0.00019,5,4978
topic,0.00019,5,4889
keystone,0.00019,5,4881
congratulations,0.00019,5,4816
sigh,0.00019,5,4613
perfect,0.00019,5,4575
presidencial,0.00019,5,4546
birth,0.00019,5,4381
dinner,0.00019,5,4307
noodles,0.00019,5,4306
kool,0.00019,5,4303
fall,0.00019,5,4203
#gopwatchparty,0.00019,5,4186
loss,0.00019,5,4032
beat,0.00019,5,3988
hitting,0.00019,5,3953
dem,0.00019,5,3889
tone,0.00019,5,3880
late,0.00019,5,3855
enough,0.00019,5,3846
current,0.00019,5,3741
politically,0.00019,5,3668
week,0.00019,5,3623
slightly,0.00019,5,3562
near,0.00019,5,3551
props,0.00019,5,3452
hug,0.00019,5,3276
libertarian,0.00019,5,3089
prolly,0.00019,5,3079
e,0.00019,5,3058
counting,0.00019,5,3045
reagan,0.00019,5,3043
horrible,0.00019,5,3025
convince,0.00019,5,3000
track,0.00019,5,2997
yep,0.00019,5,2986
bored,0.00019,5,2926
loopholes,0.00019,5,2912
#republican,0.00019,5,2907
opinion,0.00019,5,2874
romneyryan,0.00019,5,2759
doe,0.00019,5,2726
socialist,0.00019,5,2690
diff,0.00019,5,2629
realize,0.00019,5,2591
hi,0.00019,5,2574
congratulates,0.00019,5,2456
favor,0.00019,5,2409
sex,0.00019,5,2326
hard,0.00019,5,2325
es,0.00019,5,2215
enormous,0.00019,5,2209
tender,0.00019,5,2202
shook,0.00019,5,2152
following,0.00019,5,2104
promises,0.00019,5,1975
focused,0.00019,5,1962
grey,0.00019,5,1946
lying,0.00019,5,1933
trending,0.00019,5,1915
half,0.00019,5,1906
prepared,0.00019,5,1873
spot,0.00019,5,1846
glad,0.00019,5,1816
jokes,0.00019,5,1733
offering,0.00019,5,1711
female,0.00019,5,1679
silent,0.00019,5,1664
six,0.00019,5,1652
