Term,Term-id,Term-frequency
jeb,4854,1
attended,6028,1
strapping,3049,1
fresco's,5046,1
cnn's,2872,4
bothering,3764,3
univision,4126,2
deerinheadlights,6524,1
fucc,8418,1
gruber,975,2
#pisa,4905,1
compete,5714,2
zon't,8406,1
fuck,102,119
florida,6350,1
declared,3754,2
event,4270,2
finishes,7219,1
advanced,5391,1
mega,8328,1
cage,6564,1
hirschhorn,8423,1
#wiright,4554,1
#,1206,21
uhhh,649,6
stressing,1947,3
coolest,7173,1
#foward2012,6702,1
answer,237,130
jfk,1264,3
possibly,3404,2
sleeve,2255,1
uhhs,4921,2
theater,2940,2
regard,3710,1
#risers,4395,1
dawg,2346,2
meet,2451,3
sunglasses,6558,1
spew,1489,2
#disapointed,7495,1
payments,7592,1
overdid,5480,1
spen,6630,1
#fuckthesystem,6619,1
homosexuals,7142,1
sweetheart,2088,4
#obama,244,394
ignorance,2175,3
biggest,1728,7
#electionsu,6455,1
drawing,6039,2
relief,7130,2
elephants,7580,1
realised,4662,1
ronald,4111,1
muka,4534,1
times,515,24
timer,2902,1
swords,5019,1
econ,6454,3
pedophile,3194,5
cutest,3424,4
seguir,5474,1
f,5437,5
experts,7955,1
happier,6191,1
g,4113,4
declares,1902,10
d,225,9
e,3058,5
b,1237,13
c,4167,2
confused,296,9
invisible,5817,1
consultant,6353,1
n,2316,20
o,828,23
#tfydebate,5695,1
l,3057,1
cutting,684,6
m,3001,3
k,3383,4
dentures,2502,1
h,330,4
w,1187,36
y'all,82,25
v,3335,3
advocates,3560,2
t,2487,4
s,259,27
days,3265,5
r,226,12
q,3492,7
p,1775,6
#issues,5936,1
este,8297,1
z,7062,2
y,414,19
zone,5026,1
x,2270,3
#byebyeobama,119,1
president's,79,11
apunta,2953,1
fugg,6991,1
consumption,8153,1
drop,2361,3
infant,1609,1
jab,4233,1
britton,4821,1
#mormon,3749,1
mrkennedy,7790,1
echo,2378,2
agressive,3217,1
diner,2687,2
estimated,8269,1
basic,1181,8
jar,4122,1
#kanye,5898,1
grander,5830,2
spence,3799,1
gleaming,7879,1
pumpkin,1657,1
belongs,1799,3
double,1220,15
jay,5759,2
much,549,91
seminar,5316,1
comercio,1255,3
fewer,832,1
areas,1194,3
wears,2783,2
catheter,2571,1
adoring,5729,1
update,7210,1
educacin,8016,1
woahhh,3303,1
libations,8171,1
laughable,6442,1
planted,3097,1
completely,1015,5
#obamagottago,4431,1
twin,3005,1
possible,2532,6
especially,2977,4
twit,7572,1
#debate2012#debates,7496,1
chris,633,2
alike,4243,1
#romneyisgonnacry,2284,1
reached,5465,1
spends,4072,3
hipster,6386,1
#zinger,2382,4
trillions,4453,2
hella,355,1
3rd,5526,5
#free,6114,1
#bedebate2012,3856,1
assertion,4708,1
jacking,7635,2
confront,2757,2
phish,6073,1
hello,3685,3
deport,2530,2
cada,8467,1
entire,1073,6
flush,7003,1
wooden,6096,1
wowobama,3767,1
hells,5199,1
lifeid,954,1
anyone,565,33
brows,7467,1
chell,6881,1
brown,783,6
lowered,3417,2
adding,6864,1
suspicious,2268,1
#wind,6223,2
attacking,4732,1
suspicioun,3357,1
#presidentialdebatebe,4965,1
cycling,6980,1
dbat,1304,1
jmt,8444,1
flipping,5792,2
rock,6432,2
dbag,2565,1
youtube,2077,5
villian,1950,1
#teamobamaand,5396,1
someday,7889,1
spanish,4161,2
job,642,82
meni,8002,1
assured,3643,2
wifey,4858,1
#fml,6772,1
#loveyaboo,3713,1
