jeb,4854,1,NN,
strapping,3049,1,VBG,
attended,6028,1,VBD,
fresco's,5046,1,
cnn's,2872,4,
univision,4126,2,NNP,
bothering,3764,3,VBG,
deerinheadlights,6524,1,
fucc,8418,1,NNP,
gruber,975,2,NNP,
compete,5714,2,VB,
#pisa,4905,1,NN,
zon't,8406,1,
fuck,102,119,VB,NNP,NN,VBD,VBP,
florida,6350,1,NNP,
declared,3754,2,VBN,
event,4270,2,NN,
finishes,7219,1,VBZ,
advanced,5391,1,JJ,
mega,8328,1,JJ,
cage,6564,1,NNP,
hirschhorn,8423,1,NNP,
#wiright,4554,1,JJ,
#,1206,21,#,
uhhh,649,6,NNP,VB,NN,
stressing,1947,3,VBG,
coolest,7173,1,JJS,
possibly,3404,2,RB,
jfk,1264,3,NNP,
answer,237,130,NN,VB,NNP,
#foward2012,6702,1,
uhhs,4921,2,NNS,
sleeve,2255,1,NN,
#risers,4395,1,NNS,
regard,3710,1,NN,
theater,2940,2,NN,
dawg,2346,2,NN,
meet,2451,3,VB,VBP,
sunglasses,6558,1,NNS,
spew,1489,2,VB,
#disapointed,7495,1,JJ,
payments,7592,1,NNS,
overdid,5480,1,VBD,
spen,6630,1,VBP,
#fuckthesystem,6619,1,NN,
#obama,244,394,NNP,NN,JJ,VB,FW,VBP,RB,VBG,
sweetheart,2088,4,NN,
homosexuals,7142,1,NNS,
ignorance,2175,3,NN,
biggest,1728,7,JJS,
#electionsu,6455,1,NN,
drawing,6039,2,VBG,
relief,7130,2,NN,
elephants,7580,1,NNS,
realised,4662,1,
ronald,4111,1,NNP,
muka,4534,1,NN,
times,515,24,NNS,NNP,
timer,2902,1,NN,
swords,5019,1,NNS,
econ,6454,3,JJ,
pedophile,3194,5,NN,
cutest,3424,4,JJS,
seguir,5474,1,FW,
f,5437,5,SYM,FW,NN,
experts,7955,1,NNS,
happier,6191,1,JJR,
g,4113,4,NN,
declares,1902,10,VBZ,
d,225,9,NNP,NN,
e,3058,5,NN,SYM,LS,
b,1237,13,NN,NNP,
c,4167,2,NN,
confused,296,9,VBN,JJ,
invisible,5817,1,JJ,
consultant,6353,1,NN,
n,2316,20,NN,
o,828,23,NN,NNP,
#tfydebate,5695,1,NN,
l,3057,1,NN,
cutting,684,6,VBG,
m,3001,3,NN,
k,3383,4,NN,NNP,
dentures,2502,1,NNS,
h,330,4,NN,
w,1187,36,NN,VBP,RB,NNP,VBD,
y'all,82,25,
v,3335,3,LS,
advocates,3560,2,NNS,VBZ,
t,2487,4,NN,
s,259,27,NNS,NN,
days,3265,5,NNS,
r,226,12,NNP,NN,
q,3492,7,NNP,CD,FW,
p,1775,6,NN,
#issues,5936,1,NNS,
este,8297,1,FW,
z,7062,2,NNP,SYM,
zone,5026,1,NN,
y,414,19,NN,NNP,FW,
x,2270,3,NN,CC,
#byebyeobama,119,1,NN,
apunta,2953,1,NN,
president's,79,11,
fugg,6991,1,NN,
drop,2361,3,VB,NNP,NN,
consumption,8153,1,NN,
britton,4821,1,NN,
jab,4233,1,NN,
infant,1609,1,NN,
#mormon,3749,1,NNS,
mrkennedy,7790,1,
agressive,3217,1,JJ,
echo,2378,2,VBP,VB,
diner,2687,2,NN,
basic,1181,8,JJ,
estimated,8269,1,VBN,
#kanye,5898,1,NNP,
jar,4122,1,NN,
grander,5830,2,JJR,
spence,3799,1,NNP,
gleaming,7879,1,JJ,
pumpkin,1657,1,NN,
belongs,1799,3,VBZ,
jay,5759,2,NNP,
double,1220,15,VB,VBP,RB,JJ,
much,549,91,RB,JJ,
seminar,5316,1,NN,
comercio,1255,3,FW,NN,
areas,1194,3,NNS,
fewer,832,1,JJR,
wears,2783,2,VBZ,
catheter,2571,1,NN,
adoring,5729,1,JJ,
update,7210,1,NNP,
educacin,8016,1,FW,
woahhh,3303,1,NNP,
libations,8171,1,NNS,
planted,3097,1,VBN,
laughable,6442,1,JJ,
#obamagottago,4431,1,NN,
completely,1015,5,RB,
twin,3005,1,NN,
possible,2532,6,JJ,
especially,2977,4,RB,
twit,7572,1,NN,
#debate2012#debates,7496,1,
alike,4243,1,RB,
chris,633,2,NNP,
#romneyisgonnacry,2284,1,JJ,
reached,5465,1,VBN,
spends,4072,3,VBZ,
#zinger,2382,4,NN,NNP,
hipster,6386,1,NN,
trillions,4453,2,NNS,
hella,355,1,NNS,
3rd,5526,5,JJ,
assertion,4708,1,NN,
#bedebate2012,3856,1,
#free,6114,1,JJ,
confront,2757,2,VB,
jacking,7635,2,VBG,
hello,3685,3,UH,NNP,
phish,6073,1,JJ,
deport,2530,2,VB,
entire,1073,6,JJ,
cada,8467,1,NNP,
wooden,6096,1,JJ,
flush,7003,1,VB,
hells,5199,1,NNP,
wowobama,3767,1,
lifeid,954,1,
anyone,565,33,NN,NNP,
brows,7467,1,NNS,
chell,6881,1,NN,
brown,783,6,JJ,NNP,
lowered,3417,2,VBN,
adding,6864,1,VBG,
suspicious,2268,1,JJ,
attacking,4732,1,VBG,
#wind,6223,2,NN,
suspicioun,3357,1,NN,
#presidentialdebatebe,4965,1,
dbat,1304,1,NN,
cycling,6980,1,NN,
jmt,8444,1,NNP,
flipping,5792,2,VBG,
rock,6432,2,NNP,VB,
dbag,2565,1,
youtube,2077,5,NN,NNP,
villian,1950,1,NN,
#teamobamaand,5396,1,NN,
someday,7889,1,RB,
spanish,4161,2,JJ,
job,642,82,NN,NNP,
meni,8002,1,
assured,3643,2,VBN,
wifey,4858,1,NN,
#fml,6772,1,NN,
#loveyaboo,3713,1,NN,
weave,7503,2,VB,
deaddd,6675,1,NN,
straightup,4633,1,
proflat,3297,1,
mandate,4430,2,NN,
roar,5368,1,NN,
assistance,5906,2,NNP,NN,
thought,81,28,VBN,NN,VBD,NNP,
road,5513,2,NNP,
chiquita,7212,1,NNP,
space,5132,1,NN,
hmmm,361,6,NNP,NN,
skools,5764,1,NNS,
joe,4406,6,NNP,
reside,6310,1,VBP,
joi,7872,1,FW,
boys,5192,2,NNS,
rather,543,20,RB,
construction,6406,1,NN,
jos,4536,1,NNS,
aimed,6354,1,VBN,
responding,8054,1,VBG,
plancrack,3040,1,
focuses,8343,1,VBZ,
helps,6319,2,VBZ,
marijuana,3337,3,NN,
whippin,4986,2,NN,
#imignorant,7018,1,JJ,
stradegy,5558,1,NN,
recall,2561,1,VB,
worried,1795,5,VBD,JJ,VBN,
worries,2822,1,NNP,
publicist,7860,1,NN,
alien,6014,2,JJ,
laughter,511,2,NN,
warning,5519,2,VBG,NN,
uhmi,7817,1,
weedingrt,1407,1,
manufacturing,1288,8,NN,VBG,NNP,
personhood,5446,1,VBN,
single,5545,7,JJ,
#fraudward,1640,2,NN,
kesalahan,1877,1,NNP,
westor,7554,1,
vayan,4552,1,FW,
mess,984,10,NN,
every,149,70,DT,
pretzels,3554,2,NNS,
eight,2545,1,CD,
jim,2991,29,NNP,
romneyquit,4751,1,
#tillyousaidobama,4367,1,NN,
skewed,5681,3,JJ,
muscles,3753,1,NNS,
focused,1962,5,NNP,VBN,
pray,4771,2,VB,VBP,
sleepy,3556,1,JJ,
slicing,7528,1,VBG,
drafthous,3105,1,NNP,
hannity,2475,1,NNP,
linessomething,4081,1,
grandma,5477,1,NN,
bersiap,2094,1,NN,
authentic,2506,3,JJ,
thoneither,3635,1,
#dontdoubtme,8239,1,NN,
councilman,6209,2,NNP,NN,
exciting,6951,2,JJ,
#writingmyownlegacy,72,1,NN,
nortes,3766,1,NNS,
perdida,4091,1,FW,
gravitas,7437,1,NN,
watson,5424,1,NNP,
doubledown,7774,1,NNP,
defensive,1560,2,JJ,
security,3723,7,NN,NNP,
gorgeous,5166,3,JJ,NNP,
drum,3902,2,VB,
trippin,7000,1,NNP,NN,
joboh,5216,1,
drug,5934,1,NN,
bowman,2200,1,NNP,
answering,1293,23,VBG,NN,
therapist,7185,1,NN,
dodge,4409,1,VB,
hubby,6703,1,VB,
riiight,3596,1,NNP,
goshhh,3803,1,JJ,
meow,4508,1,NN,
