Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
mitt romney wanna hold us back ,65.257803,8428.000000,2808.000000,18.077246
mitt romney wanna hold us back ,65.257803,8428.000000,2808.000000,18.077246
mitt romney wanna hold us back ,65.257803,8428.000000,2808.000000,18.077246
one ,2.961748,182.000000,83.000000,2.192771
politics ,2.052953,46.000000,33.000000,1.393939
irks ,0.740114,8.000000,4.000000,2.000000
people ,4.305414,257.000000,115.000000,2.234783
actually ,1.697409,88.000000,37.000000,2.378378
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
get ,7.505716,446.000000,190.000000,2.347368
fucking knowledge ,2.339654,91.000000,33.000000,5.133333
wonder ,0.896657,14.000000,13.000000,1.076923
think ,2.038104,179.000000,97.000000,1.845361
heads ,0.864074,3.000000,2.000000,1.500000
one ,2.961748,182.000000,83.000000,2.192771
speaking ,1.282806,43.000000,18.000000,2.388889
#debate2012 #obama2012 ,5.776132,84.000000,30.000000,5.625000
broke college student ,4.156588,81.000000,29.000000,8.600878
just ,7.052906,1044.000000,361.000000,2.891967
parents got ,5.148087,194.000000,91.000000,3.668333
mean ,1.268713,51.000000,28.000000,1.821429
husband likes ,1.448306,39.000000,13.000000,4.772727
president's tie ,2.631884,55.000000,19.000000,4.791667
just thought y'all ,10.276684,1130.000000,397.000000,7.604041
know ,3.410289,240.000000,145.000000,1.655172
like obama's tie ,17.322304,1496.000000,495.000000,9.362921
top ,0.953808,11.000000,11.000000,1.000000
approach ,0.672901,13.000000,5.000000,2.600000
obama ,15.681776,1709.000000,751.000000,2.275632
idiot ,1.150226,21.000000,13.000000,1.615385
least ,1.153394,23.000000,14.000000,1.642857
agree ,1.411898,35.000000,28.000000,1.250000
energy ,5.258574,245.000000,93.000000,2.634409
shall ,0.813763,4.000000,3.000000,1.333333
compare obama's trickle ,5.356896,205.000000,78.000000,6.800454
economics ,1.243318,14.000000,10.000000,1.400000
cuts ,1.761308,44.000000,17.000000,2.588235
country ,1.795287,49.000000,38.000000,1.289474
recession ,0.394315,2.000000,2.000000,1.000000
obama's ,3.034229,159.000000,49.000000,3.244898
really well ,4.426422,258.000000,114.000000,4.193258
let ,1.956806,37.000000,20.000000,1.850000
smirk turn ,3.399121,60.000000,31.000000,3.642857
full blown giggle ,2.899202,52.000000,27.000000,8.015151
mitt talks ,26.474384,3774.000000,1204.000000,5.729096
time capsule ,3.777322,172.000000,91.000000,3.888889
commission ,0.000000,1.000000,1.000000,1.000000
presidential debates store ,5.704916,219.000000,86.000000,6.671717
set ,1.037857,6.000000,5.000000,1.200000
years ,3.683630,120.000000,76.000000,1.578947
mitt romney become ,54.310329,7952.000000,2640.000000,8.850591
democrat ,0.248187,3.000000,3.000000,1.000000
comments ,0.438934,7.000000,4.000000,1.750000
romney ,28.494119,4212.000000,1450.000000,2.904828
know ,3.410289,240.000000,145.000000,1.655172
takes ,2.708801,48.000000,37.000000,1.297297
get small biz going ,21.783164,1198.000000,485.000000,11.034165
#debates hmmmmmm ,7.845891,321.000000,157.000000,4.044872
