DocId,Score,Entropy,ProcessedTweet,Tweet+RetweetCount
5516,51.886017,4.4838561897747224,we can help but it's going to take a different path i know what it takes to get small business going again mitt romney #debate,We can help --  but it's going to take a different path. I know what it takes to get small business going again. - Mitt Romney #debate,0
1265,65.001245,4.110093477608016,small business is what creates jobs i am own a small business and pay two employees support small business #debate #gop #romney #usa,Small business is what creates jobs. I am 23 --  own a small business and pay two employees. Support small business. #Debate #GOP #Romney #USA,0
1731,60.94377999999999,4.5465935642949376,about to get my popcorn n watch da presidential debate cuz #teamobama is gonna make #teamromney look like a piece of shit of a campaign lmao,ABOUT TO GET MY POPCORN N WATCH DA PRESIDENTIAL DEBATE CUZ #TEAMOBAMA IS GONNA MAKE #TEAMROMNEY LOOK LIKE A PIECE OF SHIT OF A CAMPAIGN LMAO,0
4007,58.868139,4.316827716832514,that must be so awkward to stand together like friends they're like i hope you slip and fail just like your policies #debates,that must be so awkward to stand together like friends --  they're like I hope you slip and fail --  just like your policies #debates,0
3296,57.23675899999999,3.734521664779752,damn straight energy independent small businesses obama kisses foreign ass beats small businesses ass #fail #debate #tcot,Damn straight! Energy independent! Small businesses! Obama kisses foreign ASS & beats small businesses ass! #FAIL #Debate #tcot,0
472,57.20093000000001,3.875,cnbcnyt did president obama really cut small business taxes times yes tax cuts tax incentives #debate2012,CNBC/NYT: Did President Obama Really Cut Small Business Taxes 18 Times? http://t.co/fqLKftFd yes: tax cuts & 'tax incentives' #debate2012,0
514,55.242006,4.532665279941249,it is so surreal seeing president obama speak in real time i get to see it so rarely i feel like i'm watching a prepared speech #debates,It is so surreal seeing President Obama speak in real time. I get to see it so rarely. I feel like I'm watching a prepared speech #debates,0
465,49.65289799999999,4.459431618637295,#romney said a different path is needed to create jobs wants energy independence open up trade job skills balance budget small biz,#Romney said a different path is needed to create jobs. Wants energy independence --  open up trade --  job skills --  balance budget --  small biz,0
430,53.156397999999996,4.623516641218014,i dont care what no one says everytime mitt romney speaks he just sounds like a sneaky snake thats just waiting to fuck up some shit,I dont care what no one says --  everytime mitt romney speaks he just sounds like a sneaky snake thats just waiting to fuck up some shit,2
2644,52.197115000000004,4.584962500721156,word that man rich as hell talking bout small time jobs and he gonna get ppl hired mitt romney don't pay no tax foh,Word that man rich as hell --  talking bout small time jobs and he gonna get ppl hired @TheRealTheoo: Mitt Romney don't pay no tax FOH !,0
1205,51.828680999999996,4.373660689688184,ion like how dhat bitch romney just tried downplay dha skool like dhat now americans ain't no dummies na don't do dhat shit lit mitt,Ion like how dhat bitch Romney just tried 2 downplay dha skool like dhat now --  Americans ain't no dummies na ! Don't do dhat shit lit Mitt !,0
545,51.07629400000001,4.566108939837479,mitt romney is just an asshole i feel like they did this on purpose just have dumb ass run for office just so we can vote for obama,mitt romney is just an asshole i feel like they did this on purpose just have dumb ass run for office just so we can vote for obama,0
3512,51.045933,4.368522527728205,first q creating jobs obama invest educ training change tax code for small biz invest in us no top down #debate #obama2012,First Q: Creating jobs: Obama: Invest educ. --  training --  change tax code for small biz --  invest in US --  No top down  #debate #Obama2012,0
5400,49.203525000000006,4.169925001442313,president #obama says we need to invest in small business reduce our deficit embrace economic patriotism #jobs #debates,President #Obama says we need to invest in small business --  reduce our deficit --  & embrace economic patriotism #jobs #debates,0
5209,48.931153,4.169925001442313,romney part plan energy independence crack down on china invest latin america best schools small biz #debates #shevotes,Romney: 5-part plan. Energy independence --  crack down on China --  invest Latin America --  best schools --  small biz #debates #shevotes,0
