DocId,ProcessedTweet,OriginalTweet
3458,mitt romney wanna hold us back mitt romney wanna hold us back mitt romney wanna hold us back rick ross voice lol,Mitt Romney wanna hold us back! Mitt Romney wanna hold us back! Mitt Romney wanna hold us BACK! *Rick Ross voice* LOL
2,i'm not one for politics but it irks me that people would actually for mitt romney get your fucking knowledge up,I'm not one for politics but it irks me that people would actually for Mitt Romney. Get your fucking knowledge up
3,i wonder what they think in their heads while the other one is speaking lol #presidentialdebate,I wonder what they think in their heads while the other one is speaking. Lol #PresidentialDebate
9,#debate2012 #obama2012 i'm a broke college student just because my parents got it don't mean i do #writingmyownlegacy,#Debate2012  #Obama2012   I'm a broke college student --  just because my parents got it don't mean I do. #WritingMyOwnLegacy
11,my husband likes the president's tie just thought y'all should know i like obama's tie,My husband likes the President's tie. Just thought y'all should know. @chriswilson02: I like Obama's tie.
12,top down approach not obama you idiot but at least they agree on energy #presidentialdebate,Top down approach?  Not Obama you idiot.  But at least they agree on energy...  #PresidentialDebate
15,shall we compare obama's trickle down economics to cameron's cuts which country is not in recession #debates #ukspin,Shall we compare Obama's 'trickle down economics' to Cameron's cuts? Which country is not in recession? #debates #UKSpin
17,obama's doing really well not to let his smirk turn into a full blown giggle while mitt talks #debates,Obama's doing really well not to let his smirk turn into a full blown giggle while Mitt talks. #debates
20,what time capsule does the commission on presidential debates store this set in every four years #debates,What time capsule does the Commission on Presidential Debates store this set in every four years? #debates
21,when did mitt romney become a democrat maybe after them comments #debate2012,When did Mitt Romney become a Democrat? Maybe after them 47% comments. #Debate2012
24,romney i know what it takes to get small biz going again #debates hmmmmmm,@CapehartJ: Romney: I know what it takes to get small biz going again. #Debates <~~ hmmmmmm?
25,the dude on key peele sound just like president obama haha,The dude on Key & Peele sound just like president Obama! Haha
27,i'll just go for obama because mitt romney is a racist motherfucker but i really don't care who's president lol,I'll just go for Obama because Mitt Romney is a racist motherfucker but i really don't care who's president --  lol.
28,watching the debate even tho i honestly dnt care i already know who im voting for #teamobama,Watching the debate even tho I honestly dnt care --  I already know who im voting for !! #TeamOBAMA
29,omg obama you're legit saying what i just said in my where i stand essay please be president for ever,Omg Obama you're legit saying what I just said in my where I stand essay please be president for ever
31,mitt romney can't even look this man in the eyestop looking down at your notes punk,Mitt Romney can't even look this man in the eye....stop looking down at your notes --  punk.
32,mitt romney is getting ready for the #debate by sending dick pics to himself,RT @FratBoysComedy: Mitt Romney is getting ready for the #debate by sending dick pics to himself.
34,for what obama is saying it sounds fairly intelligent but i wanted an answer to the question #election2012,For what Obama is saying --  it sounds fairly intelligent but I wanted an answer to the question #election2012
35,i got kinda tickled when romney mentioned the presidents anniversary like he really cares #debates,I got kinda tickled when Romney mentioned the Presidents Anniversary like he really cares #Debates
36,#obama scores 1st lie the auto industry in not blazing back gm is underwater again #debate2012 #wpro2012,#Obama scores 1st lie. The auto industry in not blazing back. GM is underwater again. #Debate2012 #wpro2012
39,s awkward smirk when he's not speaking is going to get real uncomfortable real quick #presidentialdebate,.@MittRomney's awkward smirk when he's not speaking is going to get real uncomfortable real quick. #PresidentialDebate
40,the market testing meter is annoying #debates i'm a #citizen not a consumer,The market testing meter is annoying. #debates. I'm a #citizen not a consumer.
41,that smirk that romney always has on his face just irks me he is not to be trusted #obama2012,That smirk that Romney always has on his face just irks me. He is NOT to be trusted! #Obama2012
42,president obama rt the auto industry has come roaring back and housing has begun to risepresident obama,PRESIDENT Obama RT @BarackObama The auto industry has come roaring back --  and housing has begun to rise.President Obama
43,if it wasn't for obamacare i would of died in the hospital a year ago #obama2012,If it wasn't for Obamacare --  I would of died in the hospital a year ago.  #Obama2012
44,i dont have a tax cut you're so full of shit lmao #debates,i dont have a tax cut YOU'RE SO FULL OF SHIT LMAO #debates
50,bruh rt rt mitt romney looks like he works for the umbrella corporation,Bruh... RT @Brvh_: RT @_CaptainJohnson: Mitt Romney looks like he works for the Umbrella Corporation.
52,romney's all like 0mg i wih i had a k00l wif3 and l00k h0w h obama iz #obama2012,Romney's all like 0mg. I wi$h I had a k00l wif3. And L00k @ h0w h@wtt Obama iz! #Obama2012
54,i don't give a shit what you people think i care what the presidential candidates are saying so shut up #debates,I don't give a shit what you people think. I care what the presidential candidates are saying. So shut up #debates
55,if mitt romney wins the world might as well end in,If Mitt Romney wins --  the world might as well end in 2012.
56,mitt romney you look smell and sound like a bunch of bullshit i can smell you threw my tv,MITT ROMNEY YOU LOOK --  SMELL AND SOUND LIKE A BUNCH OF BULLSHIT >.< I can smell you threw my TV --  !
57,cut taxes for the rich that's not what i'm gonna do mitt romney,Cut taxes for the rich? THAT'S NOT WHAT I'M GONNA DO! - Mitt Romney
60,romney's answer on jobs was better #presidentialdebate energy independence is a huge key of his matched obama's,Romney's answer on jobs was better #PresidentialDebate --  Energy Independence is a huge key --  3 of his 5 matched Obama's
64,president obama wants to rebuild america by focusing on creating jobs for the middle class and utilize us natural resources #debate,President Obama wants to rebuild America by focusing on creating jobs for the middle class and utilize U.S. natural resources. #Debate
65,is romney saying what president obama said in a different way he's not even saying what his tv ads say #47percent,Is Romney saying what President Obama said in a different way??? He's not even saying what his TV ads say... #47percent
