Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore,ActualTweet
#envivo el debate presidencial entre barack obama y mitt romney desde denver ,48.428707,6975,2469,68.571504,
comenzo el debate presidencial entre mitt romney y barack obama ,46.82825,6932,2451,52.865622,
el debate presidencial entre barack obama y mitt romney ,46.82825,6922,2450,42.865622,
comienza el debate de obama y mitt romney ,45.957984,6617,2377,33.006452,
primer debate presidencial entre barack obama y mitt romney ,44.535197,6848,2435,44.497201,
see president obama ruin mitt romney tonight ,43.789931,6984,2599,18.959722,
mitt romney wishes president 1st lady obama ,40.253456,6904,2535,19.169887,
barack obama dan mitt romney berhadapan untuk pertama kalinya dalam debat kandidat presiden ,39.932494,6286,2138,127.775912,
perang debat obama dan romney hari ini dimulai presiden barack obama dan mitt romney bersiap menghadapi debat ,38.753141,6196,2132,121.775912,
patriot act barack obama mitt romney gary johnson ,38.488338,6114,2144,28.606468,
kandidat hindari kesalahan barack obama dan mitt romney berhadapan untuk pertama kalinya dalam debat kandidat p ,38.309048,6305,2139,159.775912,
mitt romney barack obama si mitt romney se ,37.305556,6053,2129,19.422341,
president obama patted mitt romney ,36.537122,6700,2460,15.905006,
president obama mitt romney duke ,36.537122,6700,2460,15.905006,
mitt romney durante debate obama pendejo ,36.267284,6319,2311,21.2596,
love obama ok mitt romney ,34.54823,5860,2133,11.767625,
obama mitt romney shake hands omg ,34.536259,5785,2057,16.886584,
president obama says governor romney put ,34.310915,5283,2038,14.74616,
obama mitt romney know ,34.247371,5802,2095,10.2196,
hope obama calls mitt romney ,34.116974,5760,2055,13.914361,
#debate2012 mitt romney just gave us ,33.877563,4345,1486,16.793068,
lol mitt romney kongratulated obama ,33.308382,5760,2053,15.936683,
mitt romney's obama anniversary joke ,32.658155,4799,1739,13.68986,
#denverdebate mitt romney actually just made ,32.561669,4320,1485,15.927435,
debate us president barack obama ,31.748029,4309,1740,13.00114,
wife happy anniversary president obama ,31.643312,4246,1753,11.401146,
mitt romney congratulates obama ,31.362353,5695,2025,11.592933,
mitt romney just looks like ,31.20994,4538,1568,14.232223,
watch mitt romney get owned ,30.819114,3925,1363,13.874611,
audio luxury lunchtrae fuckyeahricksantorum mitt romney sings baby new favorite song bahahaha people ,30.375709,4052,1346,100.689831,
president obama said happy anniversary ,30.219659,4292,1728,12.643404,
lets watch mitt romney make ,29.841699,3902,1341,13.522338,
si parte dal lavoro romney ha il solito sorriso scolpito sembra nervoso non promette bene obama celebra anni con michelle ,29.700047,4632,1623,292.940204,
really just hope mitt romney loses ,29.666885,4267,1470,16.996504,
y el de mitt romney ,29.400474,3820,1246,19.949309,
aaaaaah mitt romney just said dayton ,29.340337,4280,1462,19.392608,
happy 20th anniversary president obama ,29.177334,4260,1709,13.046692,
romney just call obama ,29.121049,4635,1734,9.931782,
#debates romney says get energy independent ,28.888232,2694,1031,18.091031,
man happy anniversary barak michelle obama ,28.546421,3421,1360,16.368649,
live now watch barack obama ,28.517122,3017,1161,13.421635,
good start mitt romney details info ,28.22652,3836,1322,15.534997,
president barack obama starts debate ,28.087489,4178,1690,12.936103,
#debate mitt romney actually acknowledged ,28.060078,3684,1245,14.600698,
mitt romney just said number ,27.812205,4268,1457,13.574426,
something mitt romney said ,27.744532,3783,1277,11.104705,
obama romney debate ,27.665172,4685,1801,7.566306,
#debates shutup mitt romney nobody asked ,27.6472,4024,1407,22.074969,
ever get hair like mitt romney's ,27.612999,2583,884,16.288023,
make president obama one ,27.609858,3443,1432,8.548065,
mitt romney sound like jack nicholson ,27.530032,3904,1338,20.879686,
mitt romney looks like ,27.511868,4003,1368,11.557223,
mitt romney gone run foe president ,27.508168,4585,1633,19.472863,
president obama always make sure ,27.1873,3411,1409,11.876864,
mitt romney say something ,27.147432,3745,1275,10.594762,
mitt romney look like ,27.118255,3946,1369,10.275076,
look like mitt romney ,27.118255,3946,1369,10.275076,
mitt romney just said ,26.828961,4244,1446,11.392608,
happy anniversary president obama ,26.78865,4115,1662,9.961586,
obama romney start rap battling ,26.670108,4165,1559,15.971068,
mitt romney wins first joke ,26.588141,4115,1419,12.429332,
mitt romney white man teaching african american studies ,26.542236,3782,1276,34.453539,
time mitt romney says anything ,26.508857,3864,1324,12.988209,
#denverdebate romney congratulates obama ,26.433463,4194,1566,10.857972,
mitt romney describes unemployed people grabbing ,26.376752,3822,1298,18.746575,
mitt romney just needs ,26.195909,4095,1394,10.71079,
mitt romney just makes ,26.194645,4116,1402,10.938063,
obama just associated romney ,26.157596,4600,1714,12.074639,
#dorm hopping lol watching #obama #debates lets goo obama ,26.087881,3292,1370,41.263722,
watch obama get owned live ,26.043621,2723,1082,13.48071,
mitt romney high income people ,25.979534,3825,1302,13.452457,
thats real nigga shit president obama ,25.972023,3372,1364,14.750936,
mitt romney just seems ,25.94892,4113,1399,11.131843,
know obama romney ,25.94798,4183,1588,7.026306,
poll pres obama leads romney ,25.898973,4135,1541,15.899639,
mitt romney en vivo y online ,25.862726,3702,1220,21.822555,
mitt romney sounds like ,25.77432,3885,1334,10.96302,
obama romney shake hands ,25.710871,4146,1541,11.471068,
last time mitt romney answered none ,25.653799,3799,1293,19.189256,
mitt romney use just ,25.643345,4103,1397,10.828437,
mitt romney telling personal stories ,25.642378,3651,1230,13.212983,
bull shit mitt romney says ,25.591587,3736,1263,13.546428,
watch live president obama discusses ,25.590599,3582,1431,14.779905,
mitt romney just bring ,25.576422,4106,1404,10.33579,
mitt romney met someone whose unemployment ,25.547767,3658,1227,17.417608,
first good zinger describing obama economic policy ,25.426948,3056,1194,22.572908,
mitt romney old ass prolly came ,25.315365,3649,1223,17.904838,
#debates obama looks like ,25.287661,3054,1229,10.242755,
mitt romney just called ,25.270403,4104,1394,11.353647,
people hate mitt romney based ,25.166322,3795,1291,12.702457,
mitt romney r discuss domestic policy ,25.134559,3666,1221,20.646901,
romney funny wishes potus happy anniversary kids ,25.088058,2979,1100,18.353913,
watching president obama debate ,25.045724,3987,1695,8.598383,
#debates obama education system improvement ,24.978697,2811,1142,12.559621,
debate introductions transformed mitt romney ,24.905528,4166,1470,18.202457,
mitt romney sounded like ,24.901363,3860,1324,11.796353,
first time mitt romney ,24.894483,4181,1444,10.78778,
romney better address obama ,24.874202,4145,1552,9.871861,
mitt romney just laugh ,24.715457,4095,1394,10.71079,
hear mitt romney say ,24.695683,3713,1270,9.82305,
presidential nominee mitt romney ,24.65006,3870,1305,12.057648,
#debates obama just said ,24.604754,3295,1307,10.07814,
debate fun fact mitt romney's tie ,24.555999,2821,986,16.228137,
damnnnnn mitt romney looks damn scary ,24.549263,3730,1240,22.529993,
like mitt romney ,24.427444,3853,1322,8.296353,
mitt romney like akira subbed ,24.427444,3863,1324,18.296353,
family know mitt romney ,24.355328,3676,1265,9.862457,
de mitt romney ,24.352516,3626,1210,9.169123,
mitt romney keceplosan ngomong haiyaa barack ,24.349866,3868,1277,27.418769,
anniversary romney know damn well ,24.321487,2753,1053,11.774657,
really mitt romney yes ,24.306411,3720,1270,10.052457,
obama wont get anything done thanks ,24.184127,2449,995,13.583658,
watch mitt romney prove ,24.162189,3731,1267,10.716278,
show time mitt romney ,24.022186,3734,1271,10.560904,
fuck romney obama ,24.021426,4088,1525,7.649639,
woman ask mitt romney ,24.011127,3645,1234,10.23579,
actual mitt romney lol ,23.968797,3639,1222,11.57954,
mitt romney sound scary af ,23.869329,3587,1198,16.619123,
mitt romney jacket looks ,23.865524,3694,1230,12.29666,
obama touch romney ,23.798208,4088,1527,7.32821,
think mitt romney wants ,23.784283,3738,1297,9.646901,
mitt romney just flirt ,23.723558,4072,1382,11.21079,
president obama just let ,23.676989,3778,1512,9.968458,
mitt romney wanna lowkey roast niggas ,23.620995,3595,1199,21.03579,
see mitt romney ,23.51943,3651,1241,7.98661,
new economic patriotism obama historic code words ,23.505975,2532,956,26.452345,
republican red tie pres obama ,23.48319,2547,999,12.700325,
mitt romney just ,23.397952,4067,1380,8.71079,
unattractive mitt romney actually ,23.373644,3615,1215,12.359319,
#denverdebate #debate obama question ,23.298322,2519,1040,8.78531,
mitt romney speech ,23.262191,3566,1198,7.924679,
romney cracks open debate w story ,23.232729,2679,1010,19.491761,
know mitt romney ,23.188336,3654,1255,7.662457,
awe president obama wishing michelle obama ,23.155926,3434,1398,12.143908,
mitt romney said ,23.130889,3709,1246,8.717608,
obama saying happy anniversary ,23.128893,3178,1260,9.757621,
nigga named mitt romney ,23.110472,3590,1202,11.53579,
president obama just seems ,23.086282,3744,1498,9.965269,
god father president barack obama ,23.074493,3505,1383,13.085528,
obama say keep tuition low ,23.007588,2769,1063,13.875156,
mitt romney back ,23.00743,3587,1207,8.072827,
republican nominee mitt romney square ,22.995316,3607,1207,14.705965,
#debates history one candidate uses word sweetie 1st time ,22.958854,980,447,24.491249,
mitt romney shake hands ,22.951227,3617,1208,12.107219,
omg mitt romney go ,22.910924,3691,1256,10.332639,
romney just looks like ,22.910549,2919,1061,11.038929,
mitt romney talking ish ,22.882308,3622,1226,11.946901,
mitt romney tonight ,22.873806,3694,1257,8.139686,
watchin mitt romney makes ,22.87126,3590,1206,10.513063,
president obama begins debate ,22.84666,3805,1575,9.285883,
mitt romney lets change ,22.834829,3633,1215,11.278214,
mitt romney gon put ,22.830451,3576,1200,12.03579,
obama wants new economic patriotism ,22.788974,2570,987,14.327345,
mitt romney swings first ,22.779722,4025,1372,12.595999,
mitt romney ass ,22.77626,3587,1201,8.654838,
jobs romney gives part plan ,22.751845,2330,871,11.701347,
watching mitt romney ,22.702714,3732,1308,7.59829,
republican challenger mitt romney ,22.665714,3603,1205,11.939299,
want mitt romney ,22.653596,3633,1250,7.478647,
mitt romney points ,22.605672,3609,1221,7.913839,
mitt romney say ,22.533789,3671,1244,8.207665,
primer debate entre barack obama ,22.52774,3175,1233,23.249646,
time mitt romney appears ,22.469419,3700,1255,12.227571,
romney hits obama ,22.459524,4064,1514,8.399639,
romney obama ,22.459524,4061,1513,5.399639,
obama romney ,22.459524,4061,1513,5.399639,
president barack obama started ,22.453091,3520,1392,10.304827,
president obama please answer ,22.40172,3379,1391,9.02273,
romney facts mitt romney called ,22.391422,3591,1206,10.51198,
mitt romney go ,22.384927,3671,1247,8.110417,
obama answering jobs question ,22.243545,2625,1101,8.246459,
mitt romney shit ,22.213572,3602,1210,8.369123,
wanna kick mitt romney ,22.209696,3590,1202,11.146901,
mitt #romney congratulated president #obama ,22.164019,3205,1184,15.323973,
hope mitt romney ,22.157871,3589,1208,8.071504,
president obama just gave ,22.129209,3747,1497,10.266438,
president obama mentioned tuition loans ,21.997194,3374,1349,13.623926,
mitt romney's different path w none ,21.989266,2110,652,21.462202,
first thing president obama ,21.955704,3720,1499,9.774253,
first time romney said anything ,21.950804,2793,1027,12.526304,
mitt romney finishes everyone ,21.930317,3576,1200,12.141053,
president barack obama d ,21.93001,3488,1376,10.585528,
show mitt romney ,21.907425,3574,1198,8.369123,
mitt romney hair ,21.833651,3583,1198,8.869123,
living bobble head doll mitt romney ,21.824589,3590,1196,24.658012,
hour presidential debate special show live now ,21.821669,1374,577,20.38955,
mitt romney made ,21.819332,3588,1203,8.470573,
saying mitt romney ,21.81833,3610,1217,8.143898,
mitt romney saying ,21.81833,3610,1217,8.143898,
6th time mitt romney ,21.814641,3696,1254,12.227571,
mitt romney wants ,21.77102,3622,1225,8.03579,
shake mitt romney hand ,21.762496,3606,1206,11.702457,
thing mitt romney ,21.7385,3600,1209,8.380618,
best blessings mitt romney ,21.7232,3637,1245,11.613915,
think mitt romney ,21.713143,3648,1252,7.646901,
mitt romney think ,21.713143,3648,1252,7.646901,
obama responds w anniversary wishes ,21.626628,2873,1131,16.65728,
love mitt romney's economic plans ,21.553201,2289,758,13.99265,
president barack obama ,21.487228,3481,1373,8.252195,
barack obama president obama ,21.487228,3481,1373,8.252195,
live president obama discusses ,21.482708,3395,1349,12.499417,
mitt romney used ,21.467308,3565,1194,8.392933,
obama saying right now ,21.359948,2541,1033,8.68153,
fuck mitt romney ,21.261782,3559,1192,8.28579,
pretty sure romney just repeated ,21.2609,2602,953,15.027417,
live blog #obama #romney #debates domestic issues ,21.244533,1263,522,21.64018,
mitt romney crazy af ,21.240366,3551,1185,13.702457,
mitt romney need ,21.239888,3578,1218,7.246316,
president obama always gives specifics ,21.221546,3262,1316,13.044541,
