Word1,Word2,Likilihood Ratio,Frequency,Mean Distance,StandardDeviation,Variance
camera,took,9.26023964330858,1,1.0,0.0,0.0
question,#presidentialdebate,9.407868693810542,5,2.0,1.0,1.0
candidate,enough,9.879963512619383,1,3.0,0.0,0.0
true,meaning,13.837352044086117,1,1.0,0.0,0.0
control,higher,11.205070084273942,1,3.0,0.0,0.0
mention,schools,8.961154560100596,1,1.0,0.0,0.0
presidential,streaming,8.427045604753495,1,2.0,0.0,0.0
hair,amazing,8.062767240415951,1,2.0,0.0,0.0
obama,politicians,9.176069207449054,2,0.5,3.5355339059327378,12.5
su,en,21.955143818632536,2,2.5,0.7071067811865476,0.5
gonna,lmao,8.242879603509039,1,2.0,0.0,0.0
tweets,flowing,15.11207255922643,1,2.0,0.0,0.0
carries,love,8.901388485838208,1,3.0,0.0,0.0
shows,voters,20.866765052956538,2,0.5,3.5355339059327378,12.5
education,best,19.070281604967704,4,0.75,2.0615528128088303,4.25
now,dats,9.110422213401499,1,1.0,0.0,0.0
offering,actual,11.18476397270365,1,1.0,0.0,0.0
filthy,rich,15.250515493915763,1,1.0,0.0,0.0
thought,control,9.912140534769861,1,1.0,0.0,0.0
family,second,10.648309894858443,1,3.0,0.0,0.0
hmm,#potus,12.983910497325084,1,2.0,0.0,0.0
ready,t,11.803353742016885,1,1.0,0.0,0.0
funny,millions,13.837352044086117,1,2.0,0.0,0.0
got,chills,10.197298179102738,1,1.0,0.0,0.0
saying,slick,9.87900066390435,1,1.0,0.0,0.0
energy,waste,13.065639071963485,1,2.0,0.0,0.0
#ronpaul,#mittromney,12.392724475118229,1,1.0,0.0,0.0
moment,opens,9.814099185317332,1,2.0,0.0,0.0
w,replace,12.510381213752215,1,3.0,0.0,0.0
one,pregnant,7.920985014954262,1,3.0,0.0,0.0
mittens,sweet,8.665459263876699,1,2.0,0.0,0.0
opens,strong,10.836300452821035,1,1.0,0.0,0.0
bc,private,10.280582241467712,1,2.0,0.0,0.0
clue,vote,10.122637583505597,1,3.0,0.0,0.0
seen,drinking,17.945480552387323,2,0.0,4.242640687119285,18.0
fellow,good,9.088502136400464,1,2.0,0.0,0.0
stand,romney,12.135747399065636,3,2.0,1.0,1.0
romney,said,46.91547104575682,15,1.2666666666666666,0.7988086367179803,0.6380952380952382
obummer,got,10.197298179102738,1,1.0,0.0,0.0
english,parents,14.70942052933291,1,3.0,0.0,0.0
work,similar,9.432963318496853,1,3.0,0.0,0.0
wishes,michelle,41.52208397571519,5,0.6000000000000001,1.51657508881031,2.3
mentions,approach,10.584414004159157,1,2.0,0.0,0.0
#denverdebate,#tcot,14.640220265274934,4,0.5,1.0,1.0000000000000002
tough,#denverdebate,14.111919235604454,2,1.5,0.7071067811865476,0.5
went,small,12.47885863296753,1,3.0,0.0,0.0
romney,already,11.185729078312079,5,1.6,0.5477225575051662,0.30000000000000004
tomorrow,morning,13.041860343245652,1,1.0,0.0,0.0
romney,saying,24.86442982229113,8,0.625,2.2638462845343543,5.125
romney,omg,25.266179217206144,5,0.8,2.280350850198276,5.2
socialist,country,10.16425977813509,1,1.0,0.0,0.0
awesome,tomorrow,12.362671895767505,1,2.0,0.0,0.0
dodging,#nobama,10.845064706356375,1,3.0,0.0,0.0
romney,go,8.121935968236698,6,1.1666666666666667,1.1690451944500122,1.3666666666666667
many,wonderful,9.84014468980034,1,2.0,0.0,0.0
ppl,running,10.162213141428794,1,1.0,0.0,0.0
accomplish,washington,16.29689530769746,1,2.0,0.0,0.0
#fraudward,#p2,14.70942052933291,1,2.0,0.0,0.0
talk,touched,8.191528937203955,1,3.0,0.0,0.0
sense,strength,14.087948942951378,1,2.0,0.0,0.0
smaller,private,10.280582241467712,1,2.0,0.0,0.0
drink,bacardi,14.087948942951378,1,2.0,0.0,0.0
patriotic,something,11.217778799305986,1,2.0,0.0,0.0
way,start,9.825174582441264,2,2.0,0.0,0.0
home,#denverdebate,12.795136774868183,3,2.3333333333333335,1.1547005383792517,1.3333333333333335
aint,vote,8.402839590004362,1,3.0,0.0,0.0
co,watch,15.22977712359723,2,1.0,0.0,0.0
iron,news,14.087948942951378,1,2.0,0.0,0.0
romney,barack,16.920229784095,10,0.8999999999999999,2.0789954839350235,4.322222222222223
enter,strong,15.11207255922643,1,2.0,0.0,0.0
time,romney,10.174560664964929,7,1.8571428571428572,0.3779644730092272,0.14285714285714285
acceptable,#cnndebate,13.837352044086117,1,3.0,0.0,0.0
energy,education,13.445129158561713,2,0.5,2.1213203435596424,4.5
romney,talks,10.220545442792599,3,0.6666666666666666,2.516611478423583,6.333333333333333
fucking,idiot,12.47885863296753,1,1.0,0.0,0.0
la,lo,11.347218430794996,1,3.0,0.0,0.0
romney,income,12.135747399065636,3,2.0,0.0,0.0
county,#teaparty,16.29689530769746,1,2.0,0.0,0.0
county,news,13.041860343250477,1,1.0,0.0,0.0
fact,romney,8.438905781464086,3,3.0,0.0,0.0
scary,make,8.402839590004362,1,2.0,0.0,0.0
#obama,teleprompter,12.017842921630944,2,3.0,0.0,0.0
fuck,romney,30.327474132518304,6,1.0,2.0,4.0
voting,romney,25.95706822412103,6,2.833333333333333,0.408248290463863,0.16666666666666666
romney,even,8.172181609705547,4,1.0,2.160246899469287,4.666666666666667
w,#obamacare,11.464816906253475,1,1.0,0.0,0.0
relatable,start,8.851810622672474,1,1.0,0.0,0.0
create,slots,10.845064706356375,1,3.0,0.0,0.0
add,jobs,8.523099660191715,1,2.0,0.0,0.0
counters,w,12.510381213752215,1,1.0,0.0,0.0
remembering,debates,9.721364487678365,1,2.0,0.0,0.0
celebrating,front,20.41812815365745,2,2.0,0.0,0.0
debating,3rd,12.983910497319982,1,3.0,0.0,0.0
test,debates,9.04404086937214,1,3.0,0.0,0.0
win,gop,9.508496218596775,1,3.0,0.0,0.0
close,deficit,11.120947767025712,1,2.0,0.0,0.0
ideas,hiring,9.946445580735144,1,2.0,0.0,0.0
speech,set,10.452482002511488,1,2.0,0.0,0.0
segment,stein,14.57103582388546,1,2.0,0.0,0.0
closing,#debates,8.382637813377542,2,2.0,1.4142135623730951,2.0
ooh,dig,13.891614394966268,1,3.0,0.0,0.0
loves,questions,8.827634322572578,1,3.0,0.0,0.0
#mittromney,human,8.472232283015245,1,3.0,0.0,0.0
wanna,mitt,11.330520810420609,3,1.0,2.6457513110645907,7.0
took,one,11.246908137578203,2,1.5,0.7071067811865476,0.5
asked,respond,17.598613554517613,2,2.0,0.0,0.0
big,city,9.546642363564246,1,1.0,0.0,0.0
america,loving,10.159618413377594,1,1.0,0.0,0.0
guy,mad,11.689524580586763,1,2.0,0.0,0.0
weird,hearing,13.065639071959936,1,1.0,0.0,0.0
specific,set,10.257515787658576,1,2.0,0.0,0.0
help,educational,8.402839590004362,1,2.0,0.0,0.0
met,named,10.434289187190089,1,3.0,0.0,0.0
years,loss,8.013185119495787,1,3.0,0.0,0.0
aint,lmao,12.362671895767505,1,2.0,0.0,0.0
slots,low,9.311869798384173,1,3.0,0.0,0.0
way,promised,8.477266881427802,1,3.0,0.0,0.0
personal,convincing,12.281614400583969,1,3.0,0.0,0.0
patriotism,difficult,11.890279409342853,1,1.0,0.0,0.0
romneys,hair,8.062767240415951,1,1.0,0.0,0.0
spending,mitt,19.236704151884624,5,2.0,2.23606797749979,5.0
live,iphone,9.981215087021766,1,2.0,0.0,0.0
needs,stay,9.803816275894462,1,2.0,0.0,0.0
oh,#presidentialdebates,10.758197312395417,1,3.0,0.0,0.0
sound,ideas,8.807797218888368,1,2.0,0.0,0.0
schools,ok,7.976554499234112,1,3.0,0.0,0.0
invest,education,72.04303556468932,7,1.4285714285714286,1.511857892036909,2.285714285714286
gets,catch,10.67495639806085,1,2.0,0.0,0.0
