attended,5878,3,VBD,
strapping,10283,1,VBG,
copassion,9065,1,NN,
profession,8063,1,NN,
univision,8118,1,NNP,
attendee,8452,1,NN,
bothering,8982,3,VBG,
jeg,1680,1,NN,
grandad,2876,1,NN,
bravo,6774,1,NNP,
fucc,9856,1,NNP,
f'cking,9566,1,NNP,
champions,5999,1,NNS,
compete,8389,2,VB,
unelected,4501,4,JJ,
cleaver,567,1,JJ,
petulant,5364,2,JJ,
fuck,4,187,NN,VB,NNP,VBD,SYM,VBP,JJ,
schooled,4393,4,VBD,VBN,
florida,5029,1,NNP,
mega,10031,1,JJ,
cage,6416,3,NN,NNP,
jet,6292,2,NN,NNP,
#wiright,1182,4,NN,JJ,
citando,10150,1,VBP,
#,587,35,#,
#feh,7235,1,NN,
uhhh,4632,2,NN,
planthe,9036,1,
stressing,6097,2,NNP,VBG,
coolest,3088,3,JJS,
answer,885,57,NN,VB,NNP,
jfk,1989,1,NNP,
possibly,2224,5,RB,
uhhs,3105,2,NNS,
regard,5439,3,NN,
#risers,4380,2,NNS,
dawg,7551,2,NN,
flaunt,9637,1,VBP,
meet,5098,5,VB,
#presidentialdebateis,4231,1,NN,
washing,10586,1,VBG,
bitchslaps,8539,1,NNS,
assertive,5570,1,JJ,
oppourtunities,7355,1,NNS,
spew,4066,1,VB,
dawn,6704,1,NNP,
#1d,10317,1,
medias,51,1,NNS,
payments,9504,1,NNS,
schoollmao,8589,1,
forsmooth,9862,1,
teletubbies,10154,1,NNPS,
relies,6049,1,VBZ,
literacy,2789,1,NN,
#hlnyourtake,2639,1,NN,
accordingly,1804,4,RB,
sweetheart,10410,1,NN,
homosexuals,6327,2,NNS,
#obama,32,596,NN,FW,NNP,VBP,JJ,VB,VBD,CD,SYM,
#wisewordsofkanyewest,7759,1,NNP,
biggest,857,21,JJS,NNP,
ignorance,4230,2,NN,
bigbird's,6320,1,
#fuckingprick,6627,1,NN,
#electionsu,5129,2,NN,
drie,8140,1,NNP,
drawing,2218,5,VBG,
relief,5292,2,NN,
meek,2896,1,VB,
ronald,1030,33,NNP,NN,
inefficient,1118,1,JJ,
doney'all,5801,1,
times,2551,40,NNS,NNP,
seattle,1192,2,NNP,
timer,8257,1,NN,
econ,2417,3,NNP,JJ,NN,
pedophile,262,3,NN,
#reallytho,8757,1,NN,
f,279,33,NN,FW,SYM,
experts,7940,4,NNS,
glazed,6480,1,VBN,
g,2413,10,NN,NNP,
d,2737,9,NN,NNP,
50b,470,1,CD,
e,4281,4,NN,LS,
b,3325,11,NN,NNP,
c,1081,8,NN,NNP,
invisible,6983,3,JJ,
confused,2191,8,VBN,JJ,VBD,
erupt,10241,1,VB,
n,1427,43,NN,NNP,
o,431,24,NN,NNP,
#tfydebate,5444,2,NN,NNP,
l,6676,4,NNP,NN,
cutting,1042,50,VBG,NNP,NN,
m,1679,5,NN,
j,6994,1,
k,2094,7,NN,NNP,
h,4684,3,NN,
dentures,1961,1,NNS,
bloggers,1443,1,NNS,
w,499,41,NN,VB,NNP,VBP,
v,1343,8,LS,NNP,
y'all,602,54,
advocates,9894,1,NNS,
t,1008,4,NN,
days,5166,8,NNS,
s,843,32,NNS,NN,
50k,3023,1,CD,
r,2890,14,NN,
medico,8991,1,FW,
q,2731,5,CD,VBD,VB,NNP,
p,2907,4,NN,
este,7346,2,NNP,FW,
salemsman,5830,1,NN,
tooobama,8424,1,
50s,3761,2,NNS,
z,3340,2,NN,SYM,
braxton,4594,1,NNP,
y,113,17,FW,NN,NNP,
redistribute,9180,1,VB,
x,4094,7,CC,NN,
esta,922,5,FW,NN,
ahahha,5596,1,NNP,
basis,873,3,NN,
president's,2384,7,
themmitt,10281,1,
#apgovb7,344,2,
drop,1180,11,NN,VB,NNP,
compromising,9524,1,VBG,
trumps,4397,1,VBZ,
anthem,4743,3,NN,
strengthening,6901,2,VBG,
basic,3044,14,JJ,
updated,8274,1,VBN,
#kanye,3125,2,NNP,NN,
civilian,10521,1,JJ,
kerry,2999,3,NNP,
fathers,2521,1,NNS,
guilt,4374,1,NN,
gourmet,9236,1,NN,
wording,6401,2,NN,JJ,
spaz,9581,1,VBD,
extremist,1925,1,NN,
belongs,5259,3,VBZ,
jay,2930,3,NNP,
double,1019,4,JJ,
timid,5664,1,JJ,
jaw,5397,2,NN,
much,350,122,RB,JJ,
lmfaoooo,3794,2,NNP,
stateshould,8150,1,
weary,9638,1,JJ,
areas,7977,1,NNS,
orders,9918,1,NNS,
brass,4800,1,NN,
spar,2438,4,NN,
wears,6414,2,VBZ,
spam,4864,1,NN,
gets2,10719,1,NN,
mittins,534,1,NNS,
rereresponds,4328,1,
update,849,2,VBP,NNP,
smelled,7904,2,VBD,
espn,9818,1,NNP,
#hillaryclinton,7775,1,NNP,
hmmmmm,9410,1,NNP,
emmys,7881,1,NNPS,
planted,6406,1,VBN,
reinstall,9256,1,VB,
federalmitt,8723,1,
completely,1452,15,RB,
twin,8018,1,JJ,
segues,7368,2,NNS,
possible,2007,7,JJ,
everest,747,1,NNP,
especially,781,9,RB,
twit,4733,2,NN,VBP,
cady,3132,6,NNP,
fuel,3335,1,NN,
chris,1897,9,NNP,
alike,9870,2,RB,
pelosi,1261,3,NNS,NNP,
spends,1437,2,VBZ,
#zinger,7126,2,NN,
trillions,7678,1,NNS,
updates,7414,1,NNS,
healthcareheavy,4686,1,
3rd,6165,7,JJ,CD,
referenceget,4133,1,
finished,2554,1,VBN,
#bedebate2012,8548,1,
mayonnaise,6937,1,NN,
telepromter,3079,2,NN,
wicked,9824,1,JJ,
hospitals,789,8,NNS,
hello,683,3,UH,
bullying,827,5,NNP,VBG,
mehe,10325,1,
entire,403,17,JJ,
headache,4464,1,NN,
vaca,6734,1,NN,
anyone,433,86,NN,
#americascomebackteam,9381,1,NN,
ashbrook,8908,1,NNP,
blackfashion,3567,1,NN,
brown,1101,6,JJ,NNP,
#novacane,8821,1,NN,
attacking,5152,6,VBG,
#pmsaprobs,10042,1,NNS,
juntos,10149,1,FW,
rock,2615,5,NNP,NN,
jacks,6071,1,NNS,
unprivileged,5992,1,JJ,
naacp,7150,1,NNP,
#rolltide,6272,1,NN,
envisions,6670,1,VBZ,
tolerance,1133,18,NN,
youtube,3913,1,NNP,
straightwe,3244,1,
chicfila,9176,1,
hasta,7725,2,NN,FW,
border,6020,4,NN,NNP,
phoneafriend,5112,1,
vibes,9639,1,NNS,
luzerne,7326,1,NNP,
someday,6202,1,RB,
spanish,3775,1,JJ,
xmas,7147,2,NNS,NNP,
eigen,8877,1,NN,
menu,8746,1,NN,
rascal,3694,1,NN,
peeves,7263,1,NNS,
hahahha,9360,1,NN,
job,108,105,NN,NNP,
shoulders,5988,1,NNS,
#wimp,9628,1,NN,
sandwiches,6938,1,NNS,
yachting,7999,1,NN,
#godblessamerica,9447,1,NNP,
bozo,689,1,NNP,
regain,6232,1,VB,
weave,8178,2,NN,
#1percent,7893,1,
scene,10422,1,NN,
western,9596,1,JJ,
pupils,7643,1,NNS,
publicly,10570,1,RB,
crossword,2318,1,NN,
romneycould,5643,1,
looooool,6805,1,JJ,
commenting,5566,1,VBG,
assistance,2779,5,NN,
mandate,2454,5,VB,NN,
briefs,1894,2,NNS,
thought,26,48,VBD,NN,NNP,VBN,
road,1703,5,NN,
whips,8578,1,VBZ,
space,4107,5,NNP,NN,
#denverconvention,1151,1,NN,
hmmm,2328,6,NNP,NN,VB,
joe,1156,11,NNP,NN,
soulja,3251,1,NNP,
boys,6126,5,NNS,
#teamoba,1107,1,NN,
mavericks,8572,1,NNPS,
rather,192,15,RB,NNP,
jon,4433,3,NNP,
#touchdown,818,1,JJ,
#toolegittomitt,1773,1,NN,
melt,4081,1,VB,
askboxers,8635,1,
marketing,6342,1,NNP,
retort,5872,3,NN,
focuses,7467,1,VBZ,
officials,8891,1,NNS,
subconscious,5400,1,NN,
helps,6960,1,VBZ,
marijuana,3615,4,NN,NNP,
psychologist,5257,1,NN,
mansions,5946,2,NNS,
indies,4497,1,NNP,
#debatefun,9531,1,NN,
asians,3778,1,NNS,
gibberish,3678,1,NN,
butbutbut,9288,1,NNP,
pivotal,6913,1,JJ,
recall,1137,4,VB,VBP,
worried,4061,7,VBN,JJ,
chirstmas,9880,1,NNS,
alien,525,1,JJ,
preferor,8719,1,
mustache,3832,2,NN,
#fox,9712,1,VBD,
warning,6814,1,NN,
coraline,1077,1,NNP,
wealthier,4876,1,JJR,
single,1691,13,JJ,
perdido,927,1,FW,
monday,4848,2,NNP,
abouta,8655,1,JJ,
#supportbigbird,273,23,VBD,NN,NNP,JJ,
mess,2571,18,NN,
#alltalk,7486,1,NN,
every,208,120,DT,NNP,
spain,10597,1,NNP,
posed,6954,1,VBD,
eight,3003,5,CD,
generationdo,1516,1,
#cancer,6033,3,NN,VBN,
jim,249,270,NNP,NN,
whine,4028,1,VB,
fumes,10607,1,VBZ,
butobama,2335,2,
uhms,2964,1,NNS,
focused,1623,7,VBD,VBN,
pray,4209,6,VB,VBP,NN,NNP,
valget,8512,1,NN,
viral,7987,1,JJ,
grandma,2586,5,NNP,NN,
wrap,6970,2,VB,NN,
#champ,9540,1,NN,
rofl,1625,3,RB,NNS,NNP,
richest,9439,1,JJS,
exciting,8950,1,JJ,
importancia,10152,1,FW,
theatre,8345,1,NNP,
tangent,4971,2,NN,
talkdon't,9104,1,
villify,7422,1,VB,
#thatsmyview,2767,1,NN,
culter,5589,1,NNP,
beers,9543,2,NNS,
pushover,10132,1,NN,
superman,10000,1,JJ,
3in,3064,1,JJ,
obammaaaa,8319,1,NN,
grandpa,2015,2,NN,
chess,4063,1,NNP,
chest,10056,1,NN,
defensive,8429,2,JJ,NN,
security,2500,8,NN,NNP,
encase,8798,1,VB,
govobviously,2604,1,
kalifa,2627,1,NN,
#jupiter,6403,1,NN,
stephen,2782,2,NN,NNP,
gifted,9709,1,JJ,
flailing,2428,1,VBG,
drug,5338,3,NN,NNP,
#hemad,6839,1,NN,
puzzle,2319,1,NN,
brooo,8153,1,NN,
answering,1067,8,VBG,
