text,retweetCount,tweet_id,MONTH,DAY,HOUR,MINUTE,isRetweeted,enteredAsRetweet,retweet_id,created_at
 if i was Obama i would say "bitch fuck yo 2 minutes im the president imma say what i have to say" ,1,253678849416634368,10,04,11,12,1,0,253678692331565056,2012-10-04 11:12:05
 RT @ImTracyMorgan: Mitt Romney gon get jumped by a gang of toddlers with plastic baseball bats! DON'T YOU EVER....EVER THREATEN BIG BIRD!! ,638,253680049570586624,10,04,11,16,1,0,253671816315428864,2012-10-04 11:16:51
 "Keeping America safe is what I thought about everyday I skipped the daily intel briefings" #Obama  #DenverDebate ,0,253679852824182785,10,04,11,16,0,0,0,2012-10-04 11:16:04
 RT @SEXSTROLOGY: So many people will not vote for Mitt Romney just because he's a #Pisces #debate ,12,253679029566193665,10,04,11,12,1,0,253678267645706241,2012-10-04 11:12:48
 Romney isnt doing any good tonight #TeamObama ,0,253679530194108416,10,04,11,14,0,0,0,2012-10-04 11:14:47
 America should be embarrassed that both our Presidential candidates are disrespecting this poor old man #debates ,0,253679600876535810,10,04,11,15,0,0,0,2012-10-04 11:15:04
 Romney dice que clases medias pueden acceder a la Clinica Mayo. Se ve que no usa su seguro de salud de gobierno #Bigfail #romney ,2,253679608644386816,10,04,11,15,1,0,253678446885105665,2012-10-04 11:15:06
 Somebody get this moderator a stiff drink after this because he got tossed around like a damn rag doll. #DenverDebate ,3,253679703938977792,10,04,11,15,0,1,0,2012-10-04 11:15:29
 "I feel really bad for Barack and Michelle for having to spend their 20th anniversary with Mitt Romney." ,2,253679708233945089,10,04,11,15,0,1,0,2012-10-04 11:15:30
 RT @BenLloyd23: Mitt Romney kicking Obamas ass ,3,253679915113787393,10,04,11,16,1,0,253670566639325185,2012-10-04 11:16:19
 RT @wwjgdnet: If Romney keeps this up --  Obama will be voting for Romney too.  #tcot #debate2012 #tlot #maddow #msnbc ,25,253679956834516993,10,04,11,16,1,0,253672902745018368,2012-10-04 11:16:29
 Romney  = Democracy with the States ::: Obama = Dictatorship with Federal Government #Election2012  #Debate ,0,253679450011611136,10,04,11,14,0,0,0,2012-10-04 11:14:28
 RT @jameshaning: Obama talks about Romney's lack of plan substance. #debates ,31,253679264644345856,10,04,11,13,1,0,253678489503428610,2012-10-04 11:13:44
 Liar! Obama considers the private sector "the enemy". #debate2012 #TEAparty #tcot #ocra ,1,253679448048668673,10,04,11,14,0,1,0,2012-10-04 11:14:28
 I love mitt romney ,0,253679580026638338,10,04,11,14,0,0,0,2012-10-04 11:14:59
 My mind been made up and my vote been taken. #TeamObama ,0,253679580026638337,10,04,11,14,0,0,0,2012-10-04 11:14:59
 RT @SkylerRayTaylor Jim Lehrer just OWNED that segue. #Debates ,0,253679421079302145,10,04,11,14,0,0,0,2012-10-04 11:14:21
 i wonder if obama likes oatmeal #debates ,0,253679471519993856,10,04,11,14,0,0,0,2012-10-04 11:14:33
 "@i2chainz: I like how President Obama keeps addressing Romney as 'Governor'. Stay in yo place bitch ass nigga!" ,0,253679650960719872,10,04,11,15,0,0,0,2012-10-04 11:15:16
 Sorry --  Obama --  but Race to the Top is the definition of top down reform. Thanks for wanting to keep teachers in the job though. #debates ,0,253679831756189698,10,04,11,15,0,0,0,2012-10-04 11:15:59
 Mitt Romney is weird ,0,253679462472900608,10,04,11,14,0,0,0,2012-10-04 11:14:31
 Hahaha “@FiredBigBird: Look what Mitt Romney has done to me... http://t.co/ssIb78My ” ,0,253679514520018945,10,04,11,14,0,1,0,2012-10-04 11:14:44
 #OBAMA #OBAMA #OBAMA ,0,253679655645741056,10,04,11,15,0,0,0,2012-10-04 11:15:17
 Oir a #Obama hablar de libertad y el rol del Estado es como oir a un ciego describir un arcoiris. #Debate2012 ,6,253679643876528129,10,04,11,15,0,1,0,2012-10-04 11:15:14
 #presidentialdebate drinking game. Not because I don't take politics seriously --  but because I'm pretty sure neither of these airbags do. ,0,253679448082247684,10,04,11,14,0,1,0,2012-10-04 11:14:28
 Say what you will about his policies --  but Romney is a hell of a debator. #BullByTheHorns #debate #presidentialdebate2012 #RomneyRyan2012 ,0,253679328313896963,10,04,11,13,0,0,0,2012-10-04 11:13:59
 He's the Commander in Chief? Could have fooled me...and a whole lot of heroes out there. #CantAfford4More #DenverDebate ,1,253679343178498048,10,04,11,14,0,1,0,2012-10-04 11:14:03
 Good Point Obama...Mitt Has Been Running From Stating Specifics About His Healthcare Plan Since He Started Running For President.. ,4,253679562678996994,10,04,11,14,1,0,253678467445555200,2012-10-04 11:14:55
 Pay the teachers more #Obama ,0,253679731466182657,10,04,11,15,0,0,0,2012-10-04 11:15:35
 I'm sorry but none of you guys will guys will go to college if Mitt Romney is president. ,0,253679718581280768,10,04,11,15,0,0,0,2012-10-04 11:15:32
 Is Mitt Romney's smile not creepy a bit to yall? ...... ,1,253679323020685314,10,04,11,13,0,1,0,2012-10-04 11:13:58
 “@DouglasESchoen: #Obama is trying to convince himself as he tries to convince  America. Do we follow an indecisive?” Well put #Debate2012 ,0,253679500112588802,10,04,11,14,0,0,0,2012-10-04 11:14:40
 If I see one more debate tweet I'm going to sit here and drink another beer. #debates ,0,253679504407556097,10,04,11,14,0,0,0,2012-10-04 11:14:41
 The look on President Obama's face says --  "Chile please --  you aint bout this life!" ,1,253678903422496768,10,04,11,12,1,0,253678592549081088,2012-10-04 11:12:18
 BOL,2,253679277558624256,10,04,11,13,1,0,253678524760748033,2012-10-04 11:13:47
 Nobody read enough Sideways Stories from Wayside School. Would you rather be free or safe? #debates ,0,253679781315481600,10,04,11,15,0,0,0,2012-10-04 11:15:47
 pre-existing conditions. pre-existing conditions. pre-existing conditions. pre-existing conditions #obama2012 ,0,253679857152696320,10,04,11,16,0,0,0,2012-10-04 11:16:05
 Great minds think alike @emilycooperr !:) #Obama2012 ,1,253679768447352832,10,04,11,15,0,1,0,2012-10-04 11:15:44
 #Obama equating himself to Abraham Lincoln... Is #Romney supposed to be the civil war ripping the nation apart #debates ,0,253679785627222017,10,04,11,15,0,0,0,2012-10-04 11:15:48
 #PresidentialDebate #PresidentialDebate2012 fuck those two and bring some rage to the system @machinegunkelly for president #MGKForPresident ,0,253679676239777793,10,04,11,15,0,0,0,2012-10-04 11:15:22
 Good golly. Obama looks very annoyed/unhappy. #debates ,104,253679055029813249,10,04,11,12,1,0,253678019128987648,2012-10-04 11:12:54
 Every time Mitt Romney says "My plan" an angel gets fired and pawns his wings for health care. #CNNDebate ,1,253680133553135617,10,04,11,17,0,1,0,2012-10-04 11:17:11
 Romney says Cleveland Clinic is good example of free enterprise working more efficiently than government. #Debates http://t.co/xgNaqeGy ,0,253679118498009089,10,04,11,13,0,0,0,2012-10-04 11:13:09
 All teens will care when we get into college and loans are crazy cause of Romney -_- #obama2012 ,0,253678988600434688,10,04,11,12,0,0,0,2012-10-04 11:12:38
 RT @Kay_Carter: #Obama2012 RETWEET!!! The time is now!!! ,19,253679360949747712,10,04,11,14,1,0,253660617418866688,2012-10-04 11:14:07
 Sooooo --  old papers first. People second. Got it. #debates ,5,253680161030037506,10,04,11,17,0,1,0,2012-10-04 11:17:18
 "In that second line that said we are endowed by our creator.." yes --  #Romney --  we know --  you think you're free to have 10 wives --  settle down. ,1,253680180256722945,10,04,11,17,0,1,0,2012-10-04 11:17:22
 Breaking news: Mitt Romney loves great schools. Way to make bold statements Mitt. ,0,253680192567005184,10,04,11,17,0,0,0,2012-10-04 11:17:25
 @mollyknefel so true --  he's never been "told" what to do. #baby #Romney #spoiled #Debate2012 ,0,253679902774145024,10,04,11,16,0,0,0,2012-10-04 11:16:16
 oh --  there's a MODERATOR in this debate??? #debates #whoisthatguy ,0,253679081160318976,10,04,11,13,0,0,0,2012-10-04 11:13:00
 Obama the only president that get teens to watch politics ! ,3,253678899505020929,10,04,11,12,0,1,0,2012-10-04 11:12:17
 JIM LEHER! ARE YOU AWARE OF WHAT YOU'RE SUPPOSED TO BE DOING IN THAT CHAIR? #debates ,0,253679206662279168,10,04,11,13,0,0,0,2012-10-04 11:13:30
 #Obama tiene claro dominio de la importancia de la seguridad social. ,0,253679198554693632,10,04,11,13,0,0,0,2012-10-04 11:13:28
 I just heard someone say #God in the #debates ,1,253680213060378624,10,04,11,17,0,1,0,2012-10-04 11:17:30
 Notice that both of the candidates coordinated their ties for GHS. America's colors --  America's team. #DenverDebate #Colleypoop ,4,253680216864612352,10,04,11,17,0,1,0,2012-10-04 11:17:31
 Mitt Romney just said he loves grade schools. . Are you a pedophile --  Mitt? ,1,253679942510968832,10,04,11,16,0,1,0,2012-10-04 11:16:26
 Every child who grew up with me is going to bed tonight with their middle finger pointing towards Cayman Islands. #debates #SupportBigBird ,629,253678866684600320,10,04,11,12,1,0,253678015316365312,2012-10-04 11:12:09
 "No --  I think I had five seconds before he interrupted me." - President Barack Obama - Properly demonstrating... http://t.co/0v4ptfLJ ,0,253679932788572164,10,04,11,16,0,0,0,2012-10-04 11:16:23
 Why the F does Romney think we love insurance companies deciding on our medical treatment? He's an out of touch Moron. #debates ,0,253679303181602817,10,04,11,13,0,0,0,2012-10-04 11:13:53
