text,retweetCount,tweet_id,MONTH,DAY,HOUR,MINUTE,isRetweeted,enteredAsRetweet,retweet_id,created_at
 If you're 18 or older PLEASE exercise your right to vote ! #teamOBAMA ,1,253662839217213440,10,04,10,08,0,1,0,2012-10-04 10:08:28
 Tweeting AND debating?!RT @BarackObama: President Obama: "Over the last 30 months --  we’ve seen 5 million jobs in the private sector created." ,0,253663170521071618,10,04,10,09,0,1,0,2012-10-04 10:09:47
 I'm not one for politics but it irks me that people would actually for Mitt Romney. Get your fucking knowledge up ,0,253663021396807680,10,04,10,09,0,0,0,2012-10-04 10:09:11
 We have to improve our education system! Amen!!! #Election2012 #Debates #Ob ,0,253663130377396224,10,04,10,09,0,0,0,2012-10-04 10:09:37
 President Obama is speaking! #SILENCE #debate2012 ,11,253662529836949505,10,04,10,07,1,0,253661987316322304,2012-10-04 10:07:14
 I wonder what they think in their heads while the other one is speaking. Lol #PresidentialDebate ,0,253662924625821696,10,04,10,08,0,0,0,2012-10-04 10:08:48
 Presidential debate!!! #Nobama ,0,253663135653822466,10,04,10,09,0,1,0,2012-10-04 10:09:39
 Somebody tell Lehrer that govt can't create jobs. #denverdebate ,0,253662278816239617,10,04,10,06,0,0,0,2012-10-04 10:06:14
 President Obama patted Mitt Romney on the shoulder to tell people that he is in control. Usually the higher ranking person is on the Right! ,0,253662361871859712,10,04,10,06,1,0,253662122674880512,2012-10-04 10:06:34
 #PresidentialDebate #CNN ,0,253662971006439424,10,04,10,08,0,0,0,2012-10-04 10:08:59
 Cool to see @storify supplying aggregated story of #debates on @abc app #bravo ,1,253662323791773697,10,04,10,06,1,0,253660898214961152,2012-10-04 10:06:25
 "The question is not where we've been --  but where we are going!" -President Obama #debate2012 ,8,253662676562112513,10,04,10,07,1,0,253662209572470785,2012-10-04 10:07:49
 Small businesses can't grow under more regulations. #NObama #DenverDebate ,1,253663211407155200,10,04,10,09,0,1,0,2012-10-04 10:09:57
 1st Presidential Debate   #Obama2012 ,1,253662446231908353,10,04,10,06,1,0,253661816041922560,2012-10-04 10:06:54
 Watching the Presidential Debate! ,0,253663360766316544,10,04,10,10,0,0,0,2012-10-04 10:10:32
 "I'm sure you couldn't imagine a more romantic place than here with me." #ohromney #gayjokes #awkward #presidentialdebate ,0,253663050295566336,10,04,10,09,0,0,0,2012-10-04 10:09:18
 I wish I could #debates these fools stop #mudslingin and start fixing shit ,0,253662245437964288,10,04,10,06,0,0,0,2012-10-04 10:06:06
 Professor @rotolo and students from #ElectionClass watch the #debates in our social media lab - http://t.co/ZBMJAhK0 ,4,253663109120655360,10,04,10,09,1,0,253661928877088768,2012-10-04 10:09:32
 Both Obama and Romney's ties are askew. #debates ,0,253663234895261696,10,04,10,10,0,0,0,2012-10-04 10:10:02
 #forward2012 http://t.co/QmpuVqhx ,0,253663017068294147,10,04,10,09,0,0,0,2012-10-04 10:09:10
 #Debate2012  #Obama2012   I'm a broke college student --  just because my parents got it don't mean I do. #WritingMyOwnLegacy ,0,253663033656754176,10,04,10,09,0,0,0,2012-10-04 10:09:14
 President Obama provides specifics....#debate 2012 ,0,253663147016192000,10,04,10,09,0,0,0,2012-10-04 10:09:41
 Mitt Romney looks like a shitty 80s movie villain. ,12,253663007362666496,10,04,10,09,0,1,0,2012-10-04 10:09:08
 Debate time lets do it #RomneyRyan2012 ,3,253663023410069504,10,04,10,09,0,1,0,2012-10-04 10:09:12
 We should put both of them in a ring and let them fight it out. #PresidentialDebate ,0,253662924575502337,10,04,10,08,0,0,0,2012-10-04 10:08:48
 My husband likes the President's tie. Just thought y'all should know. “@chriswilson02: I like Obama's tie.” ,0,253662270142431232,10,04,10,06,0,0,0,2012-10-04 10:06:12
 RT @GeorgeGoehl: Hoping to hear @BarackObama @MittRomney say how they will address housing crisis #Vote4Home #forward2012 #DenverDebate ,2,253663703784882176,10,04,10,11,1,0,253653320047157248,2012-10-04 10:11:54
 Top down approach?  Not Obama you idiot.  But at least they agree on energy...  #PresidentialDebate ,0,253662836746760192,10,04,10,08,0,0,0,2012-10-04 10:08:27
 "I want to..." Notice he doesn't say what he HAS done #2012Debate #RomneyRyan2012 #ObamaIsntworking #CantAfford4More ,1,253663261323583488,10,04,10,10,0,1,0,2012-10-04 10:10:08
 Happy Annivesary president Obama!! ,3,253662860759142400,10,04,10,08,0,1,0,2012-10-04 10:08:33
 RT @AlecDomenick: If you even have the thought of voting for Obama fuck you! #America #Romney ,2,253663075180347392,10,04,10,09,1,0,253661143011323905,2012-10-04 10:09:24
 Shall we compare Obama's 'trickle down economics' to Cameron's cuts? Which country is not in recession? #debates #UKSpin ,0,253663130444521472,10,04,10,09,0,0,0,2012-10-04 10:09:37
 where were your ideas for hiring educators for the past 4 years? #byebyeobama #debate2012 #RomneyRyan2012 ,0,253663293636497408,10,04,10,10,0,0,0,2012-10-04 10:10:16
 Obama's doing really well not to let his smirk turn into a full blown giggle while Mitt talks. #debates ,0,253663201751887872,10,04,10,09,0,0,0,2012-10-04 10:09:54
 Love that @nytimes is doing live fact checks. Wonder how many people they've got working those #debates ,0,253663213537869824,10,04,10,09,0,0,0,2012-10-04 10:09:57
 "1 out of 2 Americans are living in poverty or with low income." -Stein  http://t.co/29asb4zY #occupythedebates #denverdebate ,5,253663161981489152,10,04,10,09,0,1,0,2012-10-04 10:09:45
 What time capsule does the Commission on Presidential Debates store this set in every four years? #debates ,2,253662520064225280,10,04,10,07,1,0,253662146737623041,2012-10-04 10:07:12
 Mitt Romney! ,0,253662928513933313,10,04,10,08,0,0,0,2012-10-04 10:08:49
 When did Mitt Romney become a Democrat? Maybe after them 47% comments. #Debate2012 ,0,253662968607289344,10,04,10,08,0,1,0,2012-10-04 10:08:59
 Mitt Romney!!! ,3,253663208584400896,10,04,10,09,0,1,0,2012-10-04 10:09:56
 @BitchTitsMcghee go put something pink on #faggot #Obama2012 ,0,253663368697765888,10,04,10,10,0,0,0,2012-10-04 10:10:34
 Presidential Debate #TeamObama ,1,253662760091648000,10,04,10,08,1,0,253662050558042113,2012-10-04 10:08:09
 Lets Go #Romney bahahaha sike #OBAMA ,0,253662899464183810,10,04,10,08,0,0,0,2012-10-04 10:08:42
 This commentator for the Presidential debate is no Perd Hapley! "This next statement is a question..." #debates #yaheard @parksandrecnbc ,0,253662878429749248,10,04,10,08,0,0,0,2012-10-04 10:08:37
 Barack giving a shoutout to his wife before anything. Thats love #debates ,2,253662244867551232,10,04,10,06,1,0,253662093201534976,2012-10-04 10:06:06
 RT @BeyTomce: okayyy #Obama2012 lehgo ,17,253662836184739841,10,04,10,08,1,0,253662111228641281,2012-10-04 10:08:27
 #TeamObama #2Termz http://t.co/rSRhBHlO ,0,253662876940763137,10,04,10,08,0,0,0,2012-10-04 10:08:37
 #Obama discriminating against Phys Ed teachers. Why does he hate kickball? #debats ,0,253663247897608192,10,04,10,10,0,0,0,2012-10-04 10:10:05
 Isn't that what the president just said? #debates #youtubepolitics ,0,253662953759444992,10,04,10,08,0,0,0,2012-10-04 10:08:55
